"Slider.v1.0.20","Unity.v2022.3.62f3","(file format explainer)->","Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
about them in normal usage. However, if your localization file seems to
be corrupted, these rules may be helpful for debugging purposes...
- The first 4 rows can be arbitrarily long
  - The first cell of first row is used to store this block of instruction
    text
  - The first 3 cells of the fourth row is used as headers
  - All other cells in the first and fourth rows are ignored
  - Columns in the second row alternate between property and value (ex.
    ' foo | 1 | bar | 3.5 | ... '
    - Any whitespaces before and after the property name are ignored
  - Columns in the third row are exclusively comments for properties in the
    second row
- Every following line can include any number of cells, but only the
  first four will be parsed (you can use the rest as comments if needed)
  - The fourth column is an optional metadata column
",
"IsValid","0","NonDialogueFontScale","1.0","DialogueFontScale","1.0","Author","Anonymous","DisplayName","简体中文",
"Set to 1 allow the parser to read this file, otherwise it will be skipped and the default English localization will be used as fallback","","Float value that scales font size of all non-dialogue text, 1.0 for full size.","","Float value that scales font size of all dialogue text, 1.0 for full size.","","The author(s) of this file, will appear in credits","","Use as the display name when the locale is being selected from the main menu. Note the folder name must be ASCII or else XBox will be very angry.","",
"Path","Orig","Translation","Metadata",
"__AreaDisplayName/Caves","Chloro Caves","水帘洞","",
"__AreaDisplayName/Desert","The Impact Zone","撞击区","",
"__AreaDisplayName/Factory","Rocket Factory Center","火箭工厂","",
"__AreaDisplayName/Jungle","Canopy Town","树冠园区","",
"__AreaDisplayName/MagiTech","MRI","M.R.I.","",
"__AreaDisplayName/Military","The Flats","平原","",
"__AreaDisplayName/Mountain","Crystal Mines","水晶矿","",
"__AreaDisplayName/None","None","无","",
"__AreaDisplayName/Ocean","Shifting Seas","翻转海","",
"__AreaDisplayName/Village","Stonybrook Village","石头镇","",
"__Collectibles/$1000000","$1000000","$1000000","",
"__Collectibles/All Sliders","All Sliders","All Sliders","",
"__Collectibles/Artifact","Artifact","Artifact","",
"__Collectibles/Basement Key","Basement Key","Basement Key","",
"__Collectibles/Boating License","Boating License","Boating License","",
"__Collectibles/Boots","Boots","Boots","",
"__Collectibles/Boots Upgrade","Boots Upgrade","Boots Upgrade","",
"__Collectibles/Breadge","Breadge","Breadge","",
"__Collectibles/Coffee","Coffee","Coffee","",
"__Collectibles/Crystal Sample","Crystal Sample","Crystal Sample","",
"__Collectibles/Explosives","Explosives","Explosives","",
"__Collectibles/Flashlight","Flashlight","Flashlight","",
"__Collectibles/Gem Fuel Recipe","Gem Fuel Recipe","Gem Fuel Recipe","",
"__Collectibles/Gem Transporter","Gem Transporter","Gem Transporter","",
"__Collectibles/Golden Fish","Golden Fish","Golden Fish","",
"__Collectibles/Legendary Cheese Burger","Legendary Cheese Burger","Legendary Cheese Burger","",
"__Collectibles/Magical Gem","Magical Gem","Magical Gem","",
"__Collectibles/Map","Map","Map","",
"__Collectibles/Mushroom","Mushroom","Mushroom","",
"__Collectibles/New Slider","New Slider","New Slider","",
"__Collectibles/Oil #1","Oil #1","Oil #1","",
"__Collectibles/Oil #2","Oil #2","Oil #2","",
"__Collectibles/Oil #3","Oil #3","Oil #3","",
"__Collectibles/Oil #4","Oil #4","Oil #4","",
"__Collectibles/Rock","Rock","Rock","",
"__Collectibles/Rose","Rose","Rose","",
"__Collectibles/Scroll Scrap","Scroll Scrap","Scroll Scrap","",
"__Collectibles/Scroll of Realigning","Scroll of Realigning","Scroll of Realigning","",
"__Collectibles/Skull","Skull","Skull","",
"__Collectibles/Slider 1","Slider 1","Slider 1","",
"__Collectibles/Slider 2","Slider 2","Slider 2","",
"__Collectibles/Slider 2 & 3","Slider 2 & 3","Slider 2 & 3","",
"__Collectibles/Slider 3","Slider 3","Slider 3","",
"__Collectibles/Slider 4","Slider 4","Slider 4","",
"__Collectibles/Slider 5","Slider 5","Slider 5","",
"__Collectibles/Slider 6","Slider 6","Slider 6","",
"__Collectibles/Slider 7","Slider 7","Slider 7","",
"__Collectibles/Slider 8","Slider 8","Slider 8","",
"__Collectibles/Slider 9","Slider 9","Slider 9","",
"__Collectibles/Slider Base","Slider Base","Slider Base","",
"__Collectibles/Slider Walls","Slider Walls","Slider Walls","",
"__Collectibles/Slider Wires","Slider Wires","Slider Wires","",
"__Collectibles/Station Key","Station Key","Station Key","",
"__Collectibles/Sunglasses","Sunglasses","Sunglasses","",
"__Collectibles/Treasure Chest","Treasure Chest","Treasure Chest","",
"__Collectibles/Wire Cutters","Wire Cutters","Wire Cutters","",
"__Collectibles/Wrench","Wrench","Wrench","",
"__DiscordMessages/Caves","Spelunking in the Caves","正在地穴探险","",
"__DiscordMessages/Desert","Trekking Through the Desert","正在徒步沙漠","",
"__DiscordMessages/Factory","Powering up the Factory","正在修补工厂","",
"__DiscordMessages/Jungle","Traversing the Jungle","正在穿越森林","",
"__DiscordMessages/MagiTech","Playing With Portals","正在传送时空","",
"__DiscordMessages/Military","Commiting Warcrimes","正在激战","",
"__DiscordMessages/Mountain","Riding Through the Mountain","正在横行山脉","",
"__DiscordMessages/None","None","无","",
"__DiscordMessages/Ocean","Sailing the Ocean","正在驰骋大海","",
"__DiscordMessages/Village","Exploring the Village","正在探索村落","",
"__JungleShapes/Bandage","Bandage","绷带形","",
"__JungleShapes/Bread","Bread","面包形","",
"__JungleShapes/Camera","Camera","相机形","",
"__JungleShapes/Chest","Chest","宝箱形","",
"__JungleShapes/Circle","Circle","圆形","",
"__JungleShapes/Crate","Crate","大箱形","",
"__JungleShapes/Crutch","Crutch","拄拐形","",
"__JungleShapes/Female","Female","“女”形","",
"__JungleShapes/Fish","Fish","鱼形","",
"__JungleShapes/FishBowl","FishBowl","鱼碗形","",
"__JungleShapes/Flag","Flag","旗形","",
"__JungleShapes/Glasses","Glasses","眼镜形","",
"__JungleShapes/Heart","Heart","心形","",
"__JungleShapes/House","House","房子形","",
"__JungleShapes/Icecream","Icecream","雪糕形","",
"__JungleShapes/Line","Line","直线形","",
"__JungleShapes/Lollipop","Lollipop","棒棒糖","",
"__JungleShapes/Male","Male","“男”形","",
"__JungleShapes/Minecart","Minecart","矿车形","",
"__JungleShapes/Mushroom","Mushroom","蘑菇形","",
"__JungleShapes/Pickaxe","Pickaxe","锄头形","",
"__JungleShapes/Plus","Plus","加号形","",
"__JungleShapes/Popsicle","Popsicle","冰棍形","",
"__JungleShapes/Question","Question","问号形","",
"__JungleShapes/Rail","Rail","铁轨形","",
"__JungleShapes/Semicircle","Semicircle","半圆形","",
"__JungleShapes/Ship","Ship","船形","",
"__JungleShapes/Square","Square","正方形","",
"__JungleShapes/Trash","Trash","垃圾形","",
"__JungleShapes/Triangle","Triangle","三角形","",
"__SpecialItem/Anchor","Anchor","Anchor","",
"__SpecialItem/Boots","Boots","Boots","",
"__SpecialItem/Boots Upgrade","Boots Upgrade","Boots Upgrade","",
"__SpecialItem/Scroll Scrap","Scroll Scrap","Scroll Scrap","",
"__SpecialItem/Scroll of Realigning","Scroll of Realigning","Scroll of Realigning","",
