"Slider.v1.0.11","Unity.v2022.3.44f1","(file format explainer)->","Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
about them in normal usage. However, if your localization file seems to
be corrupted, these rules may be helpful for debugging purposes...
- In general, any consecutive string of \r and \n (in any order) will be
  treated as one SINGLE line break, except within an enclosed context
- The first 4 rows can be arbitrarily long
  - The first cell of first row is used to store this block of instruction
    text
  - The first 3 cells of the fourth row is used as headers
  - All other cells in the first and fourth rows are ignored
  - Columns in the second row alternate between property and value (ex.
    ' foo | 1 | bar | 3.5 | ... '
    - Any whitespaces before and after the property name are ignored
  - Columns in the third row are exclusively comments for properties in the
    second row
- Every following line can include any number of cells, but only the
  first three will be parsed (you can use the rest as comments if needed)
- The file must end in a sequence of \r and \n's
- Every cell containing a ^, \r, or \n must be enclosed in ""
  - If a "" is encountered right after a non-enclosed separator, \r, or \n,
    then the parser is said to enter an ""enclosed context"", such context
    ends immediately when a non-escaped "" that is not followed by \r, \n,
    or a separator is encountered
  - "" within each cell should be escaped using another "" in front of it,
  - If a "" is encountered in a non-enclosed context, and it is not right
    after a separator, \r, or \n, then it is entirely ignored
  - If a non-escaped "" is encountered in an enclosed context...
    - If it is followed by a separator, \r, or \n, then it is considered
      the closing quote of the current context
    - Otherwise, it is ignored
  - If a separator, \r, or \n is encountered while in an enclosed context,
    it will be preserved
",
"IsValid","","NonDialogueFontScale","","DialogueFontScale","","Author","",
"Set to 1 allow the parser to read this file, otherwise it will be skipped and the default English localization will be used as fallback","","Float value that scales font size of all dialogue text, this is an option separate because the English font of this game is *really* tiny, like about 1/3 of regular font when under the same font size.","","Float value that scales font size of all dialogue text, this is an option separate because the English font of this game is *really* tiny, like about 1/3 of regular font when under the same font size. Recommended setting is around 0.3~0.6.","","The author(s) of this file, will appear in credits","",
"Path","Orig","Translation",
"Map/EightPuzzle/Mirage STiles/Mirage (2)/All Tile Maps/Tile Maps/Decorations/Palm1 Variant (1)/StuckHolder/BirdNamedParty@0:0","Squawk!","_har_Squawk!_har_",
"Map/EightPuzzle/Mirage STiles/Mirage (2)/All Tile Maps/Tile Maps/Decorations/Palm1 Variant (1)/StuckHolder/BirdNamedParty@0:1","Squawk!","_har_Squawk!_har_",
"Map/EightPuzzle/Mirage STiles/Mirage (2)/All Tile Maps/Tile Maps/Decorations/Palm1 Variant (1)/StuckHolder/BirdNamedParty@0:10","But what do you care anyway? I'm just a bird to you. Just a silly little bird in the background.","_har_But what do you care anyway? I'm just a bird to you. Just a silly little bird in the background._har_",
"Map/EightPuzzle/Mirage STiles/Mirage (2)/All Tile Maps/Tile Maps/Decorations/Palm1 Variant (1)/StuckHolder/BirdNamedParty@0:11","Squawk!","_har_Squawk!_har_",
"Map/EightPuzzle/Mirage STiles/Mirage (2)/All Tile Maps/Tile Maps/Decorations/Palm1 Variant (1)/StuckHolder/BirdNamedParty@0:2","...","_har_..._har_",
"Map/EightPuzzle/Mirage STiles/Mirage (2)/All Tile Maps/Tile Maps/Decorations/Palm1 Variant (1)/StuckHolder/BirdNamedParty@0:3","Do you ever feel it?","_har_Do you ever feel it?_har_",
"Map/EightPuzzle/Mirage STiles/Mirage (2)/All Tile Maps/Tile Maps/Decorations/Palm1 Variant (1)/StuckHolder/BirdNamedParty@0:4","The crushing weight of loneliness, bearing down on your soul.","_har_The crushing weight of loneliness, bearing down on your soul._har_",
"Map/EightPuzzle/Mirage STiles/Mirage (2)/All Tile Maps/Tile Maps/Decorations/Palm1 Variant (1)/StuckHolder/BirdNamedParty@0:5","Like no matter how many worlds you assemble, you are no closer to assembling the broken pieces of your own world.","_har_Like no matter how many worlds you assemble, you are no closer to assembling the broken pieces of your own world._har_",
"Map/EightPuzzle/Mirage STiles/Mirage (2)/All Tile Maps/Tile Maps/Decorations/Palm1 Variant (1)/StuckHolder/BirdNamedParty@0:6","When was the last time you even saw your own partner? Spent time in your own home?","_har_When was the last time you even saw your own partner? Spent time in your own home?_har_",
"Map/EightPuzzle/Mirage STiles/Mirage (2)/All Tile Maps/Tile Maps/Decorations/Palm1 Variant (1)/StuckHolder/BirdNamedParty@0:7","Does it occur to you your recklessness destroyed so many people's worlds? Or can you not even understand what that feels like?","_har_Does it occur to you your recklessness destroyed so many people's worlds? Or can you not even understand what that feels like?_har_",
"Map/EightPuzzle/Mirage STiles/Mirage (2)/All Tile Maps/Tile Maps/Decorations/Palm1 Variant (1)/StuckHolder/BirdNamedParty@0:8","Ask yourself what home there will be to return to. What you will be when there is no longer an external world to solve.","_har_Ask yourself what home there will be to return to. What you will be when there is no longer an external world to solve._har_",
"Map/EightPuzzle/Mirage STiles/Mirage (2)/All Tile Maps/Tile Maps/Decorations/Palm1 Variant (1)/StuckHolder/BirdNamedParty@0:9","You'd destroy it all again, wouldn't you? You'd do it again and again. You make me sick.","_har_You'd destroy it all again, wouldn't you? You'd do it again and again. You make me sick._har_",
"Map/EightPuzzle/Mirage STiles/Mirage (3)/All Tile Maps/Tile Maps/Decorations/Tree1/StuckHolder/Baboon@0:0","...","_har_..._har_",
"Map/EightPuzzle/Mirage STiles/Mirage (3)/All Tile Maps/Tile Maps/Decorations/Tree1/StuckHolder/Baboon@0:1","Someone there...?","_har_Someone there...?_har_",
"Map/EightPuzzle/Mirage STiles/Mirage (3)/All Tile Maps/Tile Maps/Decorations/Tree1/StuckHolder/Baboon@0:2","must have been the wind...","_har_must have been the wind..._har_",
"Map/EightPuzzle/Mirage STiles/Mirage (3)/All Tile Maps/Tile Maps/Decorations/Tree1/StuckHolder/Baboon@1:0","Oh, Crocodile's throwing a party... Yeah... can you take me there?","_har_Oh, Crocodile's throwing a party... Yeah... can you take me there?_har_",
"Map/EightPuzzle/Mirage STiles/Mirage (3)/All Tile Maps/Tile Maps/Decorations/Tree1/StuckHolder/Baboon@2:0","Wahooooo...","_har_Wahooooo..._har_",
"Map/EightPuzzle/Mirage STiles/Mirage (3)/All Tile Maps/Tile Maps/Decorations/Tree1/StuckHolder/Baboon@2:1","...","_har_..._har_",
"Map/EightPuzzle/Mirage STiles/Mirage (3)/All Tile Maps/Tile Maps/Decorations/Tree1/StuckHolder/Baboon@3:0","Hey thanks for waking me up… I tend to sleep in...","_har_Hey thanks for waking me up… I tend to sleep in..._har_",
"Map/EightPuzzle/Mirage STiles/Mirage (3)/All Tile Maps/Tile Maps/Decorations/Tree1/StuckHolder/Baboon@4:0","Surprise...*yawn*","_har_Surprise...*yawn*_har_",
"Map/EightPuzzle/Mirage STiles/Mirage (4)/Objects/Fezziwig@0:0","These bones are just teeming with energies!","_har_These bones are just teeming with energies!_har_",
"Map/EightPuzzle/Mirage STiles/Mirage (4)/Objects/Fezziwig@0:1","Hmph... This will require a kind of magic I am not familiar with.","_har_Hmph... This will require a kind of magic I am not familiar with._har_",
"Map/EightPuzzle/Mirage STiles/Mirage (4)/Objects/Fezziwig@0:2","Oh hello there! If you wouldn't mind, do bring me any magic <#ff9040>scrolls</color> you come across.","_har_Oh hello there! If you wouldn't mind, do bring me any magic <#ff9040>scrolls</color> you come across._har_",
"Map/EightPuzzle/Mirage STiles/Mirage (4)/Objects/Fezziwig@1:0","Oh hello there! If you wouldn't mind, do bring me any magic <#ff9040>scrolls</color> you come across.","_har_Oh hello there! If you wouldn't mind, do bring me any magic <#ff9040>scrolls</color> you come across._har_",
"Map/EightPuzzle/Mirage STiles/Mirage (4)/Objects/Fezziwig@1:1","It's urgent, I implore you!","_har_It's urgent, I implore you!_har_",
