"Slider.v1.0.18","Unity.v2022.3.44f1","(file format explainer)->","Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
about them in normal usage. However, if your localization file seems to
be corrupted, these rules may be helpful for debugging purposes...
- The first 4 rows can be arbitrarily long
  - The first cell of first row is used to store this block of instruction
    text
  - The first 3 cells of the fourth row is used as headers
  - All other cells in the first and fourth rows are ignored
  - Columns in the second row alternate between property and value (ex.
    ' foo | 1 | bar | 3.5 | ... '
    - Any whitespaces before and after the property name are ignored
  - Columns in the third row are exclusively comments for properties in the
    second row
- Every following line can include any number of cells, but only the
  first four will be parsed (you can use the rest as comments if needed)
  - The fourth column is an optional metadata column
",
"IsValid","","NonDialogueFontScale","","DialogueFontScale","","Author","",
"Set to 1 allow the parser to read this file, otherwise it will be skipped and the default English localization will be used as fallback","","Float value that scales font size of all non-dialogue text, 1.0 for full size.","","Float value that scales font size of all dialogue text, 1.0 for full size.","","The author(s) of this file, will appear in credits","",
"Path","Orig","Translation","Metadata",
"Map/EightPuzzle/STile (1)/Objects/Door Repairman@0:0","Mon ami! This is a bit aside but...","_har_Mon ami! This is a bit aside but..._har_","",
"Map/EightPuzzle/STile (1)/Objects/Door Repairman@0:1","I need a Conductive Bob to fix this power box.","_har_I need a Conductive Bob to fix this power box._har_","",
"Map/EightPuzzle/STile (1)/Objects/Door Repairman@0:2","There's one in the northeast, marked on your map, but I don't have the tools to get it.","_har_There's one in the northeast, marked on your map, but I don't have the tools to get it._har_","",
"Map/EightPuzzle/STile (1)/Objects/Door Repairman@0:3","It'll keep the door open when fixed. Merci beaucoup!","_har_It'll keep the door open when fixed. Merci beaucoup!_har_","",
"Map/EightPuzzle/STile (1)/Objects/Door Repairman@1:0","Bon appetit. Voila. Another ticket complete.","_har_Bon appetit. Voila. Another ticket complete._har_","",
"Map/EightPuzzle/STile (1)/Objects/Door Repairman@2:0","Bon appetit. Voila. Another ticket complete.","_har_Bon appetit. Voila. Another ticket complete._har_","",
"Map/EightPuzzle/STile (1)/Objects/Door Repairman@2:1","So... is the coffee machine fixed yet?","_har_So... is the coffee machine fixed yet?_har_","",
"Map/EightPuzzle/STile (1)/Objects/Door Repairman@3:0","Mon dieu, I'll fix it myself...","_har_Mon dieu, I'll fix it myself..._har_","",
"Map/EightPuzzle/STile (1)/Objects/Door Repairman@4:0","You haven't seen a baguette around here, have you?","_har_You haven't seen a baguette around here, have you?_har_","",
"Map/EightPuzzle/STile (2)/Objects/MarkBrown@0:0","These magnets are fascinating!","_har_These magnets are fascinating!_har_","",
"Map/EightPuzzle/STile (2)/Objects/MarkBrown@0:1","I'm not sure how to use them, though","_har_I'm not sure how to use them, though_har_","",
"Map/EightPuzzle/STile (2)/Objects/MarkBrown@0:2","If you put your mind to it, you can do it!","_har_If you put your mind to it, you can do it!_har_","",
"Map/EightPuzzle/STile (2)/Objects/MarkBrown@1:0","Aha, you can connect them to the other giant magnets.","_har_Aha, you can connect them to the other giant magnets._har_","",
"Map/EightPuzzle/STile (2)/Objects/MarkBrown@1:1","Always good to have another tool in the toolkit.","_har_Always good to have another tool in the toolkit._har_","",
