"Slider.v1.0.17","Unity.v2022.3.44f1","(file format explainer)->","Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
about them in normal usage. However, if your localization file seems to
be corrupted, these rules may be helpful for debugging purposes...
- The first 4 rows can be arbitrarily long
  - The first cell of first row is used to store this block of instruction
    text
  - The first 3 cells of the fourth row is used as headers
  - All other cells in the first and fourth rows are ignored
  - Columns in the second row alternate between property and value (ex.
    ' foo | 1 | bar | 3.5 | ... '
    - Any whitespaces before and after the property name are ignored
  - Columns in the third row are exclusively comments for properties in the
    second row
- Every following line can include any number of cells, but only the
  first four will be parsed (you can use the rest as comments if needed)
  - The fourth column is an optional metadata column
",
"IsValid","","NonDialogueFontScale","","DialogueFontScale","","Author","",
"Set to 1 allow the parser to read this file, otherwise it will be skipped and the default English localization will be used as fallback","","Float value that scales font size of all non-dialogue text, 1.0 for full size.","","Float value that scales font size of all dialogue text, 1.0 for full size.","","The author(s) of this file, will appear in credits","",
"Path","Orig","Translation","Metadata",
"ConventionMode/ConventionCanvas/Alpha Gameplay Label","Pre-Alpha Gameplay","_har_Pre-Alpha Gameplay_har_","family:TinyUnicode;size:8;lineSpacing:0;",
"ConventionMode/ConventionCanvas/Panel/RestartingText","Game is restarting...
Press any key to cancel.","_har_Game is restarting...
Press any key to cancel._har_","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/MM Panel/MainMenu Panel/Continue Button/Text","Continue","_har_Continue_har_","family:PixelTitanOne;size:16;lineSpacing:0;",
"UICanvas/MM Panel/MainMenu Panel/Credits Button/Text","Credits","_har_Credits_har_","family:PixelTitanOne;size:16;lineSpacing:0;",
"UICanvas/MM Panel/MainMenu Panel/Options Button/Text","Options","_har_Options_har_","family:PixelTitanOne;size:16;lineSpacing:0;",
"UICanvas/MM Panel/MainMenu Panel/Play Button/Text","Play","_har_Play_har_","family:PixelTitanOne;size:16;lineSpacing:0;",
"UICanvas/MM Panel/MainMenu Panel/Quit Button/Text","Quit","_har_Quit_har_","family:PixelTitanOne;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Caps Button/Text","Caps","_har_Caps_har_","family:PixelTitanZero;size:18;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Delete Button/Text","Del","_har_Del_har_","family:PixelTitanZero;size:18;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Done Button/Text","Done","_har_Done_har_","family:PixelTitanZero;size:18;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Text Area/Placeholder","Enter name...","_har_Enter name..._har_","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Text Area/Text","​","_har_​_har_","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/Back Button/Text","Back","_har_Back_har_","family:PixelTitanZero;size:16;lineSpacing:0;",
"UICanvas/OptionsMenu/CheatsManager@Give:0","Give","_har_Give_har_","",
"UICanvas/OptionsMenu/CheatsManager@NoClipOff:0","NoClip-Off","_har_NoClip-Off_har_","",
"UICanvas/OptionsMenu/CheatsManager@NoClipOn:0","NoClip-On","_har_NoClip-On_har_","",
