"Slider.v1.0.13","Unity.v2022.3.44f1","(file format explainer)->","Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
about them in normal usage. However, if your localization file seems to
be corrupted, these rules may be helpful for debugging purposes...
- In general, any consecutive string of \r and \n (in any order) will be
  treated as one SINGLE line break, except within an enclosed context
- The first 4 rows can be arbitrarily long
  - The first cell of first row is used to store this block of instruction
    text
  - The first 3 cells of the fourth row is used as headers
  - All other cells in the first and fourth rows are ignored
  - Columns in the second row alternate between property and value (ex.
    ' foo | 1 | bar | 3.5 | ... '
    - Any whitespaces before and after the property name are ignored
  - Columns in the third row are exclusively comments for properties in the
    second row
- Every following line can include any number of cells, but only the
  first three will be parsed (you can use the rest as comments if needed)
- The file must end in a sequence of \r and \n's
- Every cell containing a ^, \r, or \n must be enclosed in ""
  - If a "" is encountered right after a non-enclosed separator, \r, or \n,
    then the parser is said to enter an ""enclosed context"", such context
    ends immediately when a non-escaped "" that is not followed by \r, \n,
    or a separator is encountered
  - "" within each cell should be escaped using another "" in front of it,
  - If a "" is encountered in a non-enclosed context, and it is not right
    after a separator, \r, or \n, then it is entirely ignored
  - If a non-escaped "" is encountered in an enclosed context...
    - If it is followed by a separator, \r, or \n, then it is considered
      the closing quote of the current context
    - Otherwise, it is ignored
  - If a separator, \r, or \n is encountered while in an enclosed context,
    it will be preserved
",
"IsValid","","NonDialogueFontScale","","DialogueFontScale","","Author","",
"Set to 1 allow the parser to read this file, otherwise it will be skipped and the default English localization will be used as fallback","","Float value that scales font size of all dialogue text, this is an option separate because the English font of this game is *really* tiny, like about 1/3 of regular font when under the same font size.","","Float value that scales font size of all dialogue text, this is an option separate because the English font of this game is *really* tiny, like about 1/3 of regular font when under the same font size. Recommended setting is around 0.3~0.6.","","The author(s) of this file, will appear in credits","",
"Path","Orig","Translation",
"Map/Military 16Puzzle/Military STile (1)/Objects/MilitaryUnspawnedAlly/New Unit Flag@0:0","Spawn: Rock","_har_Spawn: Rock_har_",
"Map/Military 16Puzzle/Military STile (1)/Objects/MilitaryUnspawnedAlly/New Unit Flag@1:0","Spawn: Paper","_har_Spawn: Paper_har_",
"Map/Military 16Puzzle/Military STile (1)/Objects/MilitaryUnspawnedAlly/New Unit Flag@2:0","Spawn: Scissors","_har_Spawn: Scissors_har_",
"Map/Military 16Puzzle/Military STile (1)/Objects/New Unit Selector Spawn/New Unit Confirmer@0:0","Confirm Unit?","_har_Confirm Unit?_har_",
"Map/Military 16Puzzle/Military STile (1)/Objects/New Unit Selector Spawn/New Unit Confirmer@0:1","Sending unit!","_har_Sending unit!_har_",
"Map/Military 16Puzzle/Military STile (10)/Objects/MilitaryUnspawnedAlly/New Unit Flag@0:0","Spawn: Rock","_har_Spawn: Rock_har_",
"Map/Military 16Puzzle/Military STile (10)/Objects/MilitaryUnspawnedAlly/New Unit Flag@1:0","Spawn: Paper","_har_Spawn: Paper_har_",
"Map/Military 16Puzzle/Military STile (10)/Objects/MilitaryUnspawnedAlly/New Unit Flag@2:0","Spawn: Scissors","_har_Spawn: Scissors_har_",
"Map/Military 16Puzzle/Military STile (10)/Objects/New Unit Selector Spawn/New Unit Confirmer@0:0","Confirm Unit?","_har_Confirm Unit?_har_",
"Map/Military 16Puzzle/Military STile (10)/Objects/New Unit Selector Spawn/New Unit Confirmer@0:1","Sending unit!","_har_Sending unit!_har_",
"Map/Military 16Puzzle/Military STile (11)/Objects/MilitaryUnspawnedAlly/New Unit Flag@0:0","Spawn: Rock","_har_Spawn: Rock_har_",
"Map/Military 16Puzzle/Military STile (11)/Objects/MilitaryUnspawnedAlly/New Unit Flag@1:0","Spawn: Paper","_har_Spawn: Paper_har_",
"Map/Military 16Puzzle/Military STile (11)/Objects/MilitaryUnspawnedAlly/New Unit Flag@2:0","Spawn: Scissors","_har_Spawn: Scissors_har_",
"Map/Military 16Puzzle/Military STile (11)/Objects/New Unit Selector Spawn/New Unit Confirmer@0:0","Confirm Unit?","_har_Confirm Unit?_har_",
"Map/Military 16Puzzle/Military STile (11)/Objects/New Unit Selector Spawn/New Unit Confirmer@0:1","Sending unit!","_har_Sending unit!_har_",
"Map/Military 16Puzzle/Military STile (11)/Objects/New Unit Selector Spawn/Robot Warner@0:0","The supply was sabotaged!","_har_The supply was sabotaged!_har_",
"Map/Military 16Puzzle/Military STile (11)/Objects/New Unit Selector Spawn/Robot Warner@0:1","Our LAST supply drop should be coming soon! Use it well!","_har_Our LAST supply drop should be coming soon! Use it well!_har_",
"Map/Military 16Puzzle/Military STile (11)/Objects/New Unit Selector Spawn/Robot Warner@1:0","Heh, we didn't even need them anyway.","_har_Heh, we didn't even need them anyway._har_",
"Map/Military 16Puzzle/Military STile (12)/Objects/MilitaryUnspawnedAlly/New Unit Flag@0:0","Spawn: Rock","_har_Spawn: Rock_har_",
"Map/Military 16Puzzle/Military STile (12)/Objects/MilitaryUnspawnedAlly/New Unit Flag@1:0","Spawn: Paper","_har_Spawn: Paper_har_",
"Map/Military 16Puzzle/Military STile (12)/Objects/MilitaryUnspawnedAlly/New Unit Flag@2:0","Spawn: Scissors","_har_Spawn: Scissors_har_",
"Map/Military 16Puzzle/Military STile (12)/Objects/New Unit Selector Spawn/New Unit Confirmer@0:0","Confirm Unit?","_har_Confirm Unit?_har_",
"Map/Military 16Puzzle/Military STile (12)/Objects/New Unit Selector Spawn/New Unit Confirmer@0:1","Sending unit!","_har_Sending unit!_har_",
"Map/Military 16Puzzle/Military STile (13)/Objects/MilitaryUnspawnedAlly/New Unit Flag@0:0","Spawn: Rock","_har_Spawn: Rock_har_",
"Map/Military 16Puzzle/Military STile (13)/Objects/MilitaryUnspawnedAlly/New Unit Flag@1:0","Spawn: Paper","_har_Spawn: Paper_har_",
"Map/Military 16Puzzle/Military STile (13)/Objects/MilitaryUnspawnedAlly/New Unit Flag@2:0","Spawn: Scissors","_har_Spawn: Scissors_har_",
"Map/Military 16Puzzle/Military STile (13)/Objects/New Unit Selector Spawn/New Unit Confirmer@0:0","Confirm Unit?","_har_Confirm Unit?_har_",
"Map/Military 16Puzzle/Military STile (13)/Objects/New Unit Selector Spawn/New Unit Confirmer@0:1","Sending unit!","_har_Sending unit!_har_",
"Map/Military 16Puzzle/Military STile (14)/Objects/MilitaryUnspawnedAlly/New Unit Flag@0:0","Spawn: Rock","_har_Spawn: Rock_har_",
"Map/Military 16Puzzle/Military STile (14)/Objects/MilitaryUnspawnedAlly/New Unit Flag@1:0","Spawn: Paper","_har_Spawn: Paper_har_",
"Map/Military 16Puzzle/Military STile (14)/Objects/MilitaryUnspawnedAlly/New Unit Flag@2:0","Spawn: Scissors","_har_Spawn: Scissors_har_",
"Map/Military 16Puzzle/Military STile (14)/Objects/New Unit Selector Spawn/New Unit Confirmer@0:0","Confirm Unit?","_har_Confirm Unit?_har_",
"Map/Military 16Puzzle/Military STile (14)/Objects/New Unit Selector Spawn/New Unit Confirmer@0:1","Sending unit!","_har_Sending unit!_har_",
"Map/Military 16Puzzle/Military STile (15)/Objects/MilitaryUnspawnedAlly/New Unit Flag@0:0","Spawn: Rock","_har_Spawn: Rock_har_",
"Map/Military 16Puzzle/Military STile (15)/Objects/MilitaryUnspawnedAlly/New Unit Flag@1:0","Spawn: Paper","_har_Spawn: Paper_har_",
"Map/Military 16Puzzle/Military STile (15)/Objects/MilitaryUnspawnedAlly/New Unit Flag@2:0","Spawn: Scissors","_har_Spawn: Scissors_har_",
