"Slider.v1.0.16","Unity.v2022.3.44f1","(file format explainer)->","Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
about them in normal usage. However, if your localization file seems to
be corrupted, these rules may be helpful for debugging purposes...
- The first 4 rows can be arbitrarily long
  - The first cell of first row is used to store this block of instruction
    text
  - The first 3 cells of the fourth row is used as headers
  - All other cells in the first and fourth rows are ignored
  - Columns in the second row alternate between property and value (ex.
    ' foo | 1 | bar | 3.5 | ... '
    - Any whitespaces before and after the property name are ignored
  - Columns in the third row are exclusively comments for properties in the
    second row
- Every following line can include any number of cells, but only the
  first four will be parsed (you can use the rest as comments if needed)
  - The fourth column is an optional metadata column
",
"IsValid","","NonDialogueFontScale","","DialogueFontScale","","Author","",
"Set to 1 allow the parser to read this file, otherwise it will be skipped and the default English localization will be used as fallback","","Float value that scales font size of all non-dialogue text, 1.0 for full size.","","Float value that scales font size of all dialogue text, 1.0 for full size.","","The author(s) of this file, will appear in credits","",
"Path","Orig","Translation","Metadata",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy/Canvas/Dialogue","","","TinyUnicode;1",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy/Canvas/Dialogue BG Font","","","PixelUnicodeFill;1",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@0:0","S-s-s-s-so... c-cold...","_har_S-s-s-s-so... c-cold..._har_","",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@1:0","Th-thanks for thawing me out.","_har_Th-thanks for thawing me out._har_","",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@10:0","S-s-so... w-warm...","_har_S-s-so... w-warm..._har_","",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@2:0","I wish I had a bu-bu-bucket of lava to keep me warm.","_har_I wish I had a bu-bu-bucket of lava to keep me warm._har_","",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@2:1","Fingers... g-g-getting co-cold already.","_har_Fingers... g-g-getting co-cold already._har_","",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@2:2","Can you h-h-help me find a b-b-bucket?","_har_Can you h-h-help me find a b-b-bucket?_har_","",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@3:0","You need a k-k-key? I've got one r-r-right here.","_har_You need a k-k-key? I've got one r-r-right here._har_","",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@3:1","Ah shoot, my f-f-fingers are still f-frozen. ","_har_Ah shoot, my f-f-fingers are still f-frozen. _har_","",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@3:2","If you bring me a b-b-bucket and fill it with la-v-va, I can grab that k-key.","_har_If you bring me a b-b-bucket and fill it with la-v-va, I can grab that k-key._har_","",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@4:0","N-n-now we just need to <wavy>pour</wavy> in some l-l-lava.","_har_N-n-now we just need to <wavy>pour</wavy> in some l-l-lava._har_","",
