"Slider.v1.0.12","Unity.v2022.3.44f1","(file format explainer)->","Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
about them in normal usage. However, if your localization file seems to
be corrupted, these rules may be helpful for debugging purposes...
- The first 4 rows can be arbitrarily long
  - The first cell of first row is used to store this block of instruction
    text
  - The first 3 cells of the fourth row is used as headers
  - All other cells in the first and fourth rows are ignored
  - Columns in the second row alternate between property and value (ex.
    ' foo | 1 | bar | 3.5 | ... '
    - Any whitespaces before and after the property name are ignored
  - Columns in the third row are exclusively comments for properties in the
    second row
- Every following line can include any number of cells, but only the
  first four will be parsed (you can use the rest as comments if needed)
  - The fourth column is an optional metadata column
",
"IsValid","","NonDialogueFontScale","","DialogueFontScale","","Author","",
"Set to 1 allow the parser to read this file, otherwise it will be skipped and the default English localization will be used as fallback","","Float value that scales font size of all non-dialogue text, 1.0 for full size.","","Float value that scales font size of all dialogue text, 1.0 for full size.","","The author(s) of this file, will appear in credits","",
"Path","Orig","Translation","Metadata",
"UICanvas/OptionsMenu/Back Button/Text","Back","_ho_Back_ho_","PixelTitanZero;16",
"UICanvas/OptionsMenu/CheatsManager@Give:0","Give","_ho_Give_ho_","",
"UICanvas/OptionsMenu/CheatsManager@NoClipOff:0","NoClip-Off","_ho_NoClip-Off_ho_","",
"UICanvas/OptionsMenu/CheatsManager@NoClipOn:0","NoCLip-On","_ho_NoCLip-On_ho_","",
"UICanvas/OptionsMenu/CheatsManager@NoCollectibles:0","No Collectibles!","_ho_No Collectibles!_ho_","",
"UICanvas/OptionsMenu/CheatsManager@RecallAnchor:0","Recall Anchor","_ho_Recall Anchor_ho_","",
"UICanvas/OptionsMenu/CheatsManager@SpawnAnchor:0","Spawn Anchor","_ho_Spawn Anchor_ho_","",
"UICanvas/OptionsMenu/CheatsManager@Teleport:0","Teleport","_ho_Teleport_ho_","",
"UICanvas/OptionsMenu/CheatsManager@Undo:0","Undo","_ho_Undo_ho_","",
"UICanvas/OptionsMenu/RightContainer/CheatsPanel/Cheats Text","Cheats","_ho_Cheats_ho_","PixelTitanZero;24",
"UICanvas/OptionsMenu/RightContainer/CheatsPanel/List/Alert","Warning! Cheats cannot be undone!
We have a guide with lots of hints too.
Feel free to use these if you get stuck.","_ho_Warning! Cheats cannot be undone!
We have a guide with lots of hints too.
Feel free to use these if you get stuck._ho_","PixelUnicode;12",
"UICanvas/OptionsMenu/RightContainer/CheatsPanel/List/Button Holder (1)/Scroll Boots Button/Text","Scroll+Boots","_ho_Scroll+Boots_ho_","PixelTitanZero;16",
"UICanvas/OptionsMenu/RightContainer/CheatsPanel/List/Button Holder (1)/Spawn Anchor Button/Text","Spawn Anchor","_ho_Spawn Anchor_ho_","PixelTitanZero;16",
"UICanvas/OptionsMenu/RightContainer/CheatsPanel/List/Button Holder (2)/NoClip Button/Text","NoClip","_ho_NoClip_ho_","PixelTitanZero;16",
"UICanvas/OptionsMenu/RightContainer/CheatsPanel/List/Button Holder (2)/Respawn Button/Text","Respawn","_ho_Respawn_ho_","PixelTitanZero;16",
"UICanvas/OptionsMenu/RightContainer/CheatsPanel/List/Collectible Selector Button Pair/Give Button/Text","Give","_ho_Give_ho_","PixelTitanZero;16",
