"Slider.v1.0.20","Unity.v2022.3.44f1","(file format explainer)->","Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
about them in normal usage. However, if your localization file seems to
be corrupted, these rules may be helpful for debugging purposes...
- The first 4 rows can be arbitrarily long
  - The first cell of first row is used to store this block of instruction
    text
  - The first 3 cells of the fourth row is used as headers
  - All other cells in the first and fourth rows are ignored
  - Columns in the second row alternate between property and value (ex.
    ' foo | 1 | bar | 3.5 | ... '
    - Any whitespaces before and after the property name are ignored
  - Columns in the third row are exclusively comments for properties in the
    second row
- Every following line can include any number of cells, but only the
  first four will be parsed (you can use the rest as comments if needed)
  - The fourth column is an optional metadata column
",
"IsValid","","NonDialogueFontScale","","DialogueFontScale","","Author","",
"Set to 1 allow the parser to read this file, otherwise it will be skipped and the default English localization will be used as fallback","","Float value that scales font size of all non-dialogue text, 1.0 for full size.","","Float value that scales font size of all dialogue text, 1.0 for full size.","","The author(s) of this file, will appear in credits","",
"Path","Orig","Translation","Metadata",
"Map/Village 8Puzzle/STile (1)/All Tile Maps/House Tile Maps/Decorations/Exploresse@0:0","You’re awake! <var>Cat</var> has been acting... <wavy>strange.</wavy>","_har_You’re awake! <var>Cat</var> has been acting... <wavy>strange.</wavy>_har_","",
"Map/Village 8Puzzle/STile (1)/All Tile Maps/House Tile Maps/Decorations/Exploresse@0:1","It started when <var>Cat</var> touched that Artifact you brought back.","_har_It started when <var>Cat</var> touched that Artifact you brought back._har_","",
"Map/Village 8Puzzle/STile (1)/All Tile Maps/House Tile Maps/Decorations/Exploresse@10:0","...","_har_..._har_","",
"Map/Village 8Puzzle/STile (1)/All Tile Maps/House Tile Maps/Decorations/Exploresse@1:0","Can you check on <var>Cat</var> outside?","_har_Can you check on <var>Cat</var> outside?_har_","",
"Map/Village 8Puzzle/STile (1)/All Tile Maps/House Tile Maps/Decorations/Exploresse@2:0","Wha- What's happening?","_har_Wha- What's happening?_har_","",
"Map/Village 8Puzzle/STile (1)/All Tile Maps/House Tile Maps/Decorations/Exploresse@2:1","<var>CatUpper</var> NOOO","_har_<var>CatUpper</var> NOOO_har_","",
"Map/Village 8Puzzle/STile (1)/All Tile Maps/House Tile Maps/Decorations/Exploresse@2:2","W-what is taking you away? Why??","_har_W-what is taking you away? Why??_har_","",
"Map/Village 8Puzzle/STile (1)/All Tile Maps/House Tile Maps/Decorations/Exploresse@2:3","Wait. Where is... everything??","_har_Wait. Where is... everything??_har_","",
"Map/Village 8Puzzle/STile (1)/All Tile Maps/House Tile Maps/Decorations/Exploresse@2:4","Oh honey... you have to bring back <var>Cat</var>! I'll research what caused all this...","_har_Oh honey... you have to bring back <var>Cat</var>! I'll research what caused all this..._har_","",
"Map/Village 8Puzzle/STile (1)/All Tile Maps/House Tile Maps/Decorations/Exploresse@3:0","Oh honey... you have to bring back <var>Cat</var>! I'll research what caused all this...","_har_Oh honey... you have to bring back <var>Cat</var>! I'll research what caused all this..._har_","",
"Map/Village 8Puzzle/STile (1)/All Tile Maps/House Tile Maps/Decorations/Exploresse@3:1","It's even <var>Cat</var>'s birthday tomorrow.","_har_It's even <var>Cat</var>'s birthday tomorrow._har_","",
