"Slider.v1.0.20","Unity.v2022.3.62f3","(file format explainer)->","Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
about them in normal usage. However, if your localization file seems to
be corrupted, these rules may be helpful for debugging purposes...
- The first 4 rows can be arbitrarily long
  - The first cell of first row is used to store this block of instruction
    text
  - The first 3 cells of the fourth row is used as headers
  - All other cells in the first and fourth rows are ignored
  - Columns in the second row alternate between property and value (ex.
    ' foo | 1 | bar | 3.5 | ... '
    - Any whitespaces before and after the property name are ignored
  - Columns in the third row are exclusively comments for properties in the
    second row
- Every following line can include any number of cells, but only the
  first four will be parsed (you can use the rest as comments if needed)
  - The fourth column is an optional metadata column
",
"IsValid","0","NonDialogueFontScale","1.0","DialogueFontScale","1","Author","Anonymous",
"Set to 1 allow the parser to read this file, otherwise it will be skipped and the default English localization will be used as fallback","","Float value that scales font size of all non-dialogue text, 1.0 for full size.","","Float value that scales font size of all dialogue text, 1.0 for full size.","","The author(s) of this file, will appear in credits","",
"Path","Orig","Translation","Metadata",
"__AreaDisplayName/Caves","Chloro Caves","_yarr_Chloro Caves_yarr_","",
"__AreaDisplayName/Desert","The Impact Zone","_yarr_The Impact Zone_yarr_","",
"__AreaDisplayName/Factory","Rocket Factory Center","_yarr_Rocket Factory Center_yarr_","",
"__AreaDisplayName/Jungle","Canopy Town","_yarr_Canopy Town_yarr_","",
"__AreaDisplayName/MagiTech","MRI","_yarr_MRI_yarr_","",
"__AreaDisplayName/Military","The Flats","_yarr_The Flats_yarr_","",
"__AreaDisplayName/Mountain","Crystal Mines","_yarr_Crystal Mines_yarr_","",
"__AreaDisplayName/None","None","_yarr_None_yarr_","",
"__AreaDisplayName/Ocean","Shifting Seas","_yarr_Shifting Seas_yarr_","",
"__AreaDisplayName/Village","Stonybrook Village","_yarr_Stonybrook Village_yarr_","",
"__Collectibles/$1000000","$1000000","_yarr_$1000000_yarr_","",
"__Collectibles/All Sliders","All Sliders","_yarr_All Sliders_yarr_","",
"__Collectibles/Artifact","Artifact","_yarr_Artifact_yarr_","",
"__Collectibles/Basement Key","Basement Key","_yarr_Basement Key_yarr_","",
"__Collectibles/Boating License","Boating License","_yarr_Boating License_yarr_","",
"__Collectibles/Boots","Boots","_yarr_Boots_yarr_","",
"__Collectibles/Boots Upgrade","Boots Upgrade","_yarr_Boots Upgrade_yarr_","",
"__Collectibles/Breadge","Breadge","_yarr_Breadge_yarr_","",
"__Collectibles/Coffee","Coffee","_yarr_Coffee_yarr_","",
"__Collectibles/Crystal Sample","Crystal Sample","_yarr_Crystal Sample_yarr_","",
"__Collectibles/Explosives","Explosives","_yarr_Explosives_yarr_","",
"__Collectibles/Flashlight","Flashlight","_yarr_Flashlight_yarr_","",
"__Collectibles/Gem Fuel Recipe","Gem Fuel Recipe","_yarr_Gem Fuel Recipe_yarr_","",
"__Collectibles/Gem Transporter","Gem Transporter","_yarr_Gem Transporter_yarr_","",
"__Collectibles/Golden Fish","Golden Fish","_yarr_Golden Fish_yarr_","",
"__Collectibles/Legendary Cheese Burger","Legendary Cheese Burger","_yarr_Legendary Cheese Burger_yarr_","",
"__Collectibles/Magical Gem","Magical Gem","_yarr_Magical Gem_yarr_","",
"__Collectibles/Map","Map","_yarr_Map_yarr_","",
"__Collectibles/Mushroom","Mushroom","_yarr_Mushroom_yarr_","",
"__Collectibles/New Slider","New Slider","_yarr_New Slider_yarr_","",
"__Collectibles/Oil #1","Oil #1","_yarr_Oil #1_yarr_","",
