"Slider.v1.0.14","Unity.v2022.3.44f1","(file format explainer)->","Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
about them in normal usage. However, if your localization file seems to
be corrupted, these rules may be helpful for debugging purposes...
- The first 4 rows can be arbitrarily long
  - The first cell of first row is used to store this block of instruction
    text
  - The first 3 cells of the fourth row is used as headers
  - All other cells in the first and fourth rows are ignored
  - Columns in the second row alternate between property and value (ex.
    ' foo | 1 | bar | 3.5 | ... '
    - Any whitespaces before and after the property name are ignored
  - Columns in the third row are exclusively comments for properties in the
    second row
- Every following line can include any number of cells, but only the
  first four will be parsed (you can use the rest as comments if needed)
  - The fourth column is an optional metadata column
",
"IsValid","","NonDialogueFontScale","","DialogueFontScale","","Author","",
"Set to 1 allow the parser to read this file, otherwise it will be skipped and the default English localization will be used as fallback","","Float value that scales font size of all non-dialogue text, 1.0 for full size.","","Float value that scales font size of all dialogue text, 1.0 for full size.","","The author(s) of this file, will appear in credits","",
"Path","Orig","Translation","Metadata",
"BG Text Daniel and VGDev/Text/Text","A Game by 

Daniel Carr 

and 

VGDev","A Game by 

Daniel Carr 

and 

VGDev","PixelTitanOne;1",
"BG Text Daniel and VGDev/Text/Text Outline (1)","A Game by 

Daniel Carr 

and 

VGDev","A Game by 

Daniel Carr 

and 

VGDev","PixelTitanOne;1",
"BG Text Daniel and VGDev/Text/Text Outline (2)","A Game by 

Daniel Carr 

and 

VGDev","A Game by 

Daniel Carr 

and 

VGDev","PixelTitanOne;1",
"BG Text Daniel and VGDev/Text/Text Outline (3)","A Game by 

Daniel Carr 

and 

VGDev","A Game by 

Daniel Carr 

and 

VGDev","PixelTitanOne;1",
"BG Text Daniel and VGDev/Text/Text Outline (4)","A Game by 

Daniel Carr 

and 

VGDev","A Game by 

Daniel Carr 

and 

VGDev","PixelTitanOne;1",
"BG Text Thank you/Text/Text","Thank you

for playing!","Thank you

for playing!","PixelTitanOne;1",
"BG Text Thank you/Text/Text Outline (1)","Thank you

for playing!","Thank you

for playing!","PixelTitanOne;1",
"BG Text Thank you/Text/Text Outline (2)","Thank you

for playing!","Thank you

for playing!","PixelTitanOne;1",
"BG Text Thank you/Text/Text Outline (3)","Thank you

for playing!","Thank you

for playing!","PixelTitanOne;1",
"BG Text Thank you/Text/Text Outline (4)","Thank you

for playing!","Thank you

for playing!","PixelTitanOne;1",
"Credits Manager@Default:0","Skip","Skip","",
"CreditsCanvas/Skip Prompt/Skip Prompt Text","Skip","Skip","PixelTitanZero;54",
"Map/Tiles/Allison Avery Tile/Objects/Upstairs/Barron/Canvas/Dialogue","","","TinyUnicode;1",
"Map/Tiles/Allison Avery Tile/Objects/Upstairs/Barron/Canvas/Dialogue BG Font","","","PixelUnicodeFill;1",
"Map/Tiles/Allison Avery Tile/WorldCanvas/Text (1)/Text","Art
Programming","Art
Programming","PixelTitanZero;1",
"Map/Tiles/Allison Avery Tile/WorldCanvas/Text (1)/Text Outline (1)","Art
Programming","Art
Programming","PixelTitanZero;1",
"Map/Tiles/Allison Avery Tile/WorldCanvas/Text (1)/Text Outline (2)","Art
Programming","Art
Programming","PixelTitanZero;1",
