"Slider.v1.0.17","Unity.v2022.3.44f1","(file format explainer)->","Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
about them in normal usage. However, if your localization file seems to
be corrupted, these rules may be helpful for debugging purposes...
- The first 4 rows can be arbitrarily long
  - The first cell of first row is used to store this block of instruction
    text
  - The first 3 cells of the fourth row is used as headers
  - All other cells in the first and fourth rows are ignored
  - Columns in the second row alternate between property and value (ex.
    ' foo | 1 | bar | 3.5 | ... '
    - Any whitespaces before and after the property name are ignored
  - Columns in the third row are exclusively comments for properties in the
    second row
- Every following line can include any number of cells, but only the
  first four will be parsed (you can use the rest as comments if needed)
  - The fourth column is an optional metadata column
",
"IsValid","","NonDialogueFontScale","","DialogueFontScale","","Author","",
"Set to 1 allow the parser to read this file, otherwise it will be skipped and the default English localization will be used as fallback","","Float value that scales font size of all non-dialogue text, 1.0 for full size.","","Float value that scales font size of all dialogue text, 1.0 for full size.","","The author(s) of this file, will appear in credits","",
"Path","Orig","Translation","Metadata",
"Canvas/FadeGroupMain/Boomo Exclamation Point/Text","Boomo!","Boomo!","family:PixelTitanOne;size:16;lineSpacing:-2.8;",
"Canvas/FadeGroupMain/Boomo Exclamation Point/Text Outline (1)","Boomo!","Boomo!","family:PixelTitanOne;size:16;lineSpacing:-2.8;",
"Canvas/FadeGroupMain/Boomo Exclamation Point/Text Outline (2)","Boomo!","Boomo!","family:PixelTitanOne;size:16;lineSpacing:-2.8;",
"Canvas/FadeGroupMain/Boomo Exclamation Point/Text Outline (3)","Boomo!","Boomo!","family:PixelTitanOne;size:16;lineSpacing:-2.8;",
"Canvas/FadeGroupMain/Boomo Exclamation Point/Text Outline (4)","Boomo!","Boomo!","family:PixelTitanOne;size:16;lineSpacing:-2.8;",
"Canvas/FadeGroupMain/DarkPanel/Main Menu Button (1)/Text","Main Menu","Main Menu","family:PixelTitanZero;size:18;lineSpacing:0;",
"Canvas/FadeGroupMain/DarkPanel/Main Menu Button/Text","Main Menu","Main Menu","family:PixelTitanZero;size:18;lineSpacing:0;",
"Canvas/FadeGroupMain/DarkPanel/Text","This is the end of the game. Goodbye.","This is the end of the game. Goodbye.","family:PixelTitanZero;size:16;lineSpacing:-15;",
"Canvas/FadeGroupMain/DarkPanel/Text Outline/Text Outline (1)","This is the end of the game. Goodbye.","This is the end of the game. Goodbye.","family:PixelTitanZero;size:16;lineSpacing:-15;",
"Canvas/FadeGroupMain/DarkPanel/Text Outline/Text Outline (2)","This is the end of the game. Goodbye.","This is the end of the game. Goodbye.","family:PixelTitanZero;size:16;lineSpacing:-15;",
"Canvas/FadeGroupMain/DarkPanel/Text Outline/Text Outline (3)","This is the end of the game. Goodbye.","This is the end of the game. Goodbye.","family:PixelTitanZero;size:16;lineSpacing:-15;",
"Canvas/FadeGroupMain/DarkPanel/Text Outline/Text Outline (4)","This is the end of the game. Goodbye.","This is the end of the game. Goodbye.","family:PixelTitanZero;size:16;lineSpacing:-15;",
"Canvas/FadeGroupMain/DarkPanel/Wishlist Button/Text","Free Cat","Free Cat","family:PixelTitanZero;size:18;lineSpacing:0;",
"Canvas/FadeGroupMain/Reunited/Text","Reunited

","Reunited

","family:PixelTitanOne;size:16;lineSpacing:-2.8;",
"Canvas/FadeGroupMain/Reunited/Text Outline (1)","Reunited

","Reunited

","family:PixelTitanOne;size:16;lineSpacing:-2.8;",
"Canvas/FadeGroupMain/Reunited/Text Outline (2)","Reunited

","Reunited

","family:PixelTitanOne;size:16;lineSpacing:-2.8;",
"Canvas/FadeGroupMain/Reunited/Text Outline (3)","Reunited

","Reunited

","family:PixelTitanOne;size:16;lineSpacing:-2.8;",
"Canvas/FadeGroupMain/Reunited/Text Outline (4)","Reunited

","Reunited

","family:PixelTitanOne;size:16;lineSpacing:-2.8;",
"Canvas/FadeGroupMain/Skip Prompt/Skip Prompt Text","Skip","Skip","family:PixelTitanZero;size:16;lineSpacing:0;",
"Canvas/FadeGroupMain/With/Text","
with","
with","family:PixelTitanOne;size:16;lineSpacing:-2.8;",
"Canvas/FadeGroupMain/With/Text Outline (1)","
with","
with","family:PixelTitanOne;size:16;lineSpacing:-2.8;",
"Canvas/FadeGroupMain/With/Text Outline (2)","
with","
with","family:PixelTitanOne;size:16;lineSpacing:-2.8;",
"Canvas/FadeGroupMain/With/Text Outline (3)","
with","
with","family:PixelTitanOne;size:16;lineSpacing:-2.8;",
"Canvas/FadeGroupMain/With/Text Outline (4)","
with","
with","family:PixelTitanOne;size:16;lineSpacing:-2.8;",
"Canvas/FadeGroupTime/Speedrun Time/Text","01:23:45.567","01:23:45.567","family:TinyUnicode;size:14;lineSpacing:-2.8;",
"Canvas/FadeGroupTime/Speedrun Time/Text Outline (1)","01:23:45.567","01:23:45.567","family:PixelUnicodeFill;size:14;lineSpacing:-2.8;",
