"Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
about them in normal usage. However, if your localization file seems to
be corrupted, these rules may be helpful for debugging purposes...
- In general, any consecutive string of \r and \n (in any order) will be
  treated as one SINGLE line break, except within an enclosed context
- The first 4 rows can be arbitrarily long
  - The first cell of first row is used to store this block of instruction
    text
  - The first 3 cells of the fourth row is used as headers
  - All other cells in the first and fourth rows are ignored
  - Columns in the second row alternate between property and value (ex.
    ' foo | 1 | bar | 3.5 | ... '
    - Any whitespaces before and after the property name are ignored
  - Columns in the third row are exclusively comments for properties in the
    second row
- Every following line can include any number of cells, but only the
  first three will be parsed (you can use the rest as comments if needed)
- The file must end in a sequence of \r and \n's
- Every cell containing a ^, \r, or \n must be enclosed in ""
  - If a "" is encountered right after a non-enclosed separator, \r, or \n,
    then the parser is said to enter an ""enclosed context"", such context
    ends immediately when a non-escaped "" that is not followed by \r, \n,
    or a separator is encountered
  - "" within each cell should be escaped using another "" in front of it,
  - If a "" is encountered in a non-enclosed context, and it is not right
    after a separator, \r, or \n, then it is entirely ignored
  - If a non-escaped "" is encountered in an enclosed context...
    - If it is followed by a separator, \r, or \n, then it is considered
      the closing quote of the current context
    - Otherwise, it is ignored
  - If a separator, \r, or \n is encountered while in an enclosed context,
    it will be preserved
",
"IsValid"," ","NonDialogueFontScale"," ","DialogueFontScale"," ",
"Set to 1 allow the parser to read this file, otherwise it will be skipped and the default English localization will be used as fallback"," ","Float value that scales font size of all dialogue text, this is an option separate because the English font of this game is *really* tiny, like about 1/3 of regular font when under the same font size."," ","Float value that scales font size of all dialogue text, this is an option separate because the English font of this game is *really* tiny, like about 1/3 of regular font when under the same font size. Recommended setting is around 0.3~0.6."," ",
"Path","Orig","Translation",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem (12)/Sunglasses Total Text","2","2",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem Breadge/Breadge Total Text","9","9",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem Oil/Oil Total Text","4","4",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Text/ItemNameText","Collection","Collection",
"ArtifactCanvas/ArtifactFrame/ScreenMask/WorldMapPanel/Text/AreaNameText","Map
","Map
",
"ArtifactCanvas/ArtifactFrame/ScreenMask/WorldMapPanel/Text/AreaNameTextBG","Map
","Map
",
"Map/EightPuzzle/STile (1)/Objects/Door Repairman@0:0","Mon ami! This is a bit aside but...","Mon ami! This is a bit aside but...",
"Map/EightPuzzle/STile (1)/Objects/Door Repairman@0:1","I need a Conductive Bob to fix this power box.","I need a Conductive Bob to fix this power box.",
"Map/EightPuzzle/STile (1)/Objects/Door Repairman@0:2","There's one in the northeast, marked on your map, but I don't have the tools to get it.","There's one in the northeast, marked on your map, but I don't have the tools to get it.",
"Map/EightPuzzle/STile (1)/Objects/Door Repairman@0:3","It'll keep the door open when fixed. Merci beaucoup!","It'll keep the door open when fixed. Merci beaucoup!",
"Map/EightPuzzle/STile (1)/Objects/Door Repairman@1:0","Bon appetit. Voila. Another ticket complete.","Bon appetit. Voila. Another ticket complete.",
"Map/EightPuzzle/STile (1)/Objects/Door Repairman@2:0","Bon appetit. Voila. Another ticket complete.","Bon appetit. Voila. Another ticket complete.",
"Map/EightPuzzle/STile (1)/Objects/Door Repairman@2:1","So... is the coffee machine fixed yet?","So... is the coffee machine fixed yet?",
"Map/EightPuzzle/STile (1)/Objects/Door Repairman@3:0","Mon dieu, I'll fix it myself...","Mon dieu, I'll fix it myself...",
"Map/EightPuzzle/STile (1)/Objects/Door Repairman@4:0","You haven't seen a baguette around here, have you?","You haven't seen a baguette around here, have you?",
"Map/EightPuzzle/STile (2)/Objects/Worker Robot (2)@0:0","Halt! You do not have authorization to be here.","Halt! You do not have authorization to be here.",
"Map/EightPuzzle/STile (2)/Objects/Worker Robot (2)@0:1","You do not have the intelligence to operate the button-operated magnet device.","You do not have the intelligence to operate the button-operated magnet device.",
"Map/EightPuzzle/STile (2)/Objects/Worker Robot (2)@0:2","Also, your hat looks stupid.","Also, your hat looks stupid.",
"Map/EightPuzzle/STile (2)/Objects/Worker Robot (2)@0:3","Fine. Just keep pushing buttons and create a big human mess.","Fine. Just keep pushing buttons and create a big human mess.",
"Map/EightPuzzle/STile (2)/Objects/Worker Robot (2)@1:0","You know, these magnets have some charm to them.","You know, these magnets have some charm to them.",
"Map/EightPuzzle/STile (3)/Objects/Worker Robot (3)@0:0","These time gates are tricky. You only have a limited number of moves. Conveyer's don't seem to count though...","These time gates are tricky. You only have a limited number of moves. Conveyer's don't seem to count though...",
"Map/EightPuzzle/STile (3)/Objects/Worker Robot (3)@0:1","Supposed to be some sort of security measure?","Supposed to be some sort of security measure?",
"Map/EightPuzzle/STile (3)/Objects/Worker Robot (3)@0:2","Want me to restart this one?","Want me to restart this one?",
"Map/EightPuzzle/STile (3)/Objects/Worker Robot (3)@0:3","Completed.","Completed.",
"Map/EightPuzzle/STile (3)/Objects/Worker Robot (3)@1:0","Heyyyy, now you're dancing.","Heyyyy, now you're dancing.",
"Map/EightPuzzle/STile (3)/Objects/Worker Robot (3)@1:1","Don't forget the <wave>nuance</wave> of the movement and conveyors! It can get real tricky.","Don't forget the <wave>nuance</wave> of the movement and conveyors! It can get real tricky.",
"Map/EightPuzzle/STile (3)/Objects/Worker Robot (3)@1:2","Want me to restart this one here?","Want me to restart this one here?",
"Map/EightPuzzle/STile (3)/Objects/Worker Robot (3)@1:3","Completed.","Completed.",
"Map/EightPuzzle/STile (3)/Objects/Worker Robot (3)@2:0","Or maybe these are meant to keep us working quickly...","Or maybe these are meant to keep us working quickly...",
"Map/EightPuzzle/STile (3)/Objects/Worker Robot (3)@3:0","Can robots unionize? Form a robot union. Runion? Unionbot?","Can robots unionize? Form a robot union. Runion? Unionbot?",
"Map/EightPuzzle/STile (4)/All Tile Maps/Past Tile Maps/Objects/Kevin Sr@0:0","?? Where did you come from?","?? Where did you come from?",
"Map/EightPuzzle/STile (4)/All Tile Maps/Past Tile Maps/Objects/Kevin Sr@0:1","Anyway, I have these buoys, it would be great if you could- ","Anyway, I have these buoys, it would be great if you could- ",
"Map/EightPuzzle/STile (4)/All Tile Maps/Past Tile Maps/Objects/Kevin Sr@0:2","Haha just kidding.","Haha just kidding.",
"Map/EightPuzzle/STile (4)/All Tile Maps/Past Tile Maps/Objects/Kevin Sr@0:3","Do whatever you want with my buoys.","Do whatever you want with my buoys.",
"Map/EightPuzzle/STile (4)/All Tile Maps/Past Tile Maps/Objects/Kevin Sr@1:0","Do whatever you want with my buoys.","Do whatever you want with my buoys.",
"Map/EightPuzzle/STile (4)/All Tile Maps/Past Tile Maps/Objects/Kevin Sr@1:1","No need to arrange them or anything.","No need to arrange them or anything.",
"Map/EightPuzzle/STile (4)/Objects/3D Printer@BaseHint:0","The base is right here to my left, but you'll probably need that Conductive Bob somehow!!!!","The base is right here to my left, but you'll probably need that Conductive Bob somehow!!!!",
"Map/EightPuzzle/STile (4)/Objects/3D Printer@BaseMsg:0"," the base"," the base",
"Map/EightPuzzle/STile (4)/Objects/3D Printer@First:0","I'll just need these materials: the base, the walls, and the wires!!!","I'll just need these materials: the base, the walls, and the wires!!!",
"Map/EightPuzzle/STile (4)/Objects/3D Printer@ListMaterialMsgBeginning:0","It still needs","It still needs",
