"Slider.v1.0.20","Unity.v2022.3.62f3","(file format explainer)->","Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
about them in normal usage. However, if your localization file seems to
be corrupted, these rules may be helpful for debugging purposes...
- The first 4 rows can be arbitrarily long
  - The first cell of first row is used to store this block of instruction
    text
  - The first 3 cells of the fourth row is used as headers
  - All other cells in the first and fourth rows are ignored
  - Columns in the second row alternate between property and value (ex.
    ' foo | 1 | bar | 3.5 | ... '
    - Any whitespaces before and after the property name are ignored
  - Columns in the third row are exclusively comments for properties in the
    second row
- Every following line can include any number of cells, but only the
  first four will be parsed (you can use the rest as comments if needed)
  - The fourth column is an optional metadata column
",
"IsValid","","NonDialogueFontScale","","DialogueFontScale","","Author","","DisplayName","",
"Set to 1 allow the parser to read this file, otherwise it will be skipped and the default English localization will be used as fallback","","Float value that scales font size of all non-dialogue text, 1.0 for full size.","","Float value that scales font size of all dialogue text, 1.0 for full size.","","The author(s) of this file, will appear in credits","","Use as the display name when the locale is being selected from the main menu. Note the folder name must be ASCII or else XBox will be very angry.","",
"Path","Orig","Translation","Metadata",
"Map/EightPuzzle/Cave STile (1)/Objects/Warning Sign@0:0","DANGER: Light
Sensitive Fungi.","위험: 빛에
민감한 곰팡이.","",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Chad@0:0","Ha! You've walked right into my trap, Explorer!","하! 내 덫에 걸렸군, 탐험가!","",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Chad@0:1","I, Chad, have in my possession one of the precious sliders you're collecting.","네가 수집하고 있는 귀중한 슬라이더 중 하나를 나, 채드 이 몸이 가지고 있지.","",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Chad@0:2","You can only win it if you beat me at my favorite video game!","내가 제일 좋아하는 비디오 게임에서 나를 이겨야만 얻을 수 있다고!","",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Chad@0:3","Which is installing 
right this moment...","지금 바로 
다운 받고 있어...","",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Chad@1:0","WHAT","뭐야","",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Chad@1:1","Grr... next time we'll settle this for sure.","그으...다음에는 확실히 널 눌러버릴거야.","",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Chad@2:0","Just... just one more round! I'm starting to get good with dice.","한 판... 한 판만 더! 이제 진짜 주사위 잘 뜰거라고.","",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Chad@3:0","...","...","",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Switch Operator@0:0","Heyo! So funny story.","헤이! 재밌는 얘기 좀 들어봐.","",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Switch Operator@0:1","I was doing maintenance on the power cause the line got chewed out. When a RAT showed up and started squeakin' about. Gave me a lil' jump and I tripped. Flipped the switch and doors shut, and dropped my keys. Then that darn RAT took 'em! And now here I am. In a bit of a tickle one might say.","여기 전선이 쥐에게 갉아먹혀서 전기 정비하고 있었거든. 그런데 그 빌어먹을 쥐가 나타나서 찍찍거리는 거야. 깜짝 놀라서 넘어졌지 뭐야. 스위치가 넘어가면서 문이 닫히고, 열쇠를 떨어뜨렸어. 그러더니 그 망할 쥐가 열쇠를 물고 튀었지 뭐야! 그래서 지금 여기 갇혀있어. 좀 핑크한 상황이랄까.","",
