"Slider.v1.0.11","Unity.v2022.3.44f1","(file format explainer)->","Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
about them in normal usage. However, if your localization file seems to
be corrupted, these rules may be helpful for debugging purposes...
- In general, any consecutive string of \r and \n (in any order) will be
  treated as one SINGLE line break, except within an enclosed context
- The first 4 rows can be arbitrarily long
  - The first cell of first row is used to store this block of instruction
    text
  - The first 3 cells of the fourth row is used as headers
  - All other cells in the first and fourth rows are ignored
  - Columns in the second row alternate between property and value (ex.
    ' foo | 1 | bar | 3.5 | ... '
    - Any whitespaces before and after the property name are ignored
  - Columns in the third row are exclusively comments for properties in the
    second row
- Every following line can include any number of cells, but only the
  first three will be parsed (you can use the rest as comments if needed)
- The file must end in a sequence of \r and \n's
- Every cell containing a ^, \r, or \n must be enclosed in ""
  - If a "" is encountered right after a non-enclosed separator, \r, or \n,
    then the parser is said to enter an ""enclosed context"", such context
    ends immediately when a non-escaped "" that is not followed by \r, \n,
    or a separator is encountered
  - "" within each cell should be escaped using another "" in front of it,
  - If a "" is encountered in a non-enclosed context, and it is not right
    after a separator, \r, or \n, then it is entirely ignored
  - If a non-escaped "" is encountered in an enclosed context...
    - If it is followed by a separator, \r, or \n, then it is considered
      the closing quote of the current context
    - Otherwise, it is ignored
  - If a separator, \r, or \n is encountered while in an enclosed context,
    it will be preserved
",
"IsValid"," ","NonDialogueFontScale"," ","DialogueFontScale"," ",
"Set to 1 allow the parser to read this file, otherwise it will be skipped and the default English localization will be used as fallback"," ","Float value that scales font size of all dialogue text, this is an option separate because the English font of this game is *really* tiny, like about 1/3 of regular font when under the same font size."," ","Float value that scales font size of all dialogue text, this is an option separate because the English font of this game is *really* tiny, like about 1/3 of regular font when under the same font size. Recommended setting is around 0.3~0.6."," ",
"Path","Orig","Translation",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem (1)","Coffee","_ho_Coffee_ho_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem (10)","Golden Fish","_ho_Golden Fish_ho_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem (11)","Rock","_ho_Rock_ho_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem (12)","Sunglasses","_ho_Sunglasses_ho_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem (12)/Sunglasses Total Text","2","_ho_2_ho_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem (13)","Slider Base","_ho_Slider Base_ho_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem (14)","Slider Walls","_ho_Slider Walls_ho_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem (15)","Slider Wires","_ho_Slider Wires_ho_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem (16)","Explosives","_ho_Explosives_ho_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem (17)","Gem Transporter","_ho_Gem Transporter_ho_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem (19)","Gem Fuel Recipe","_ho_Gem Fuel Recipe_ho_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem (20)","$1000000","_ho_$1000000_ho_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem (3)","Wrench","_ho_Wrench_ho_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem (4)","Wire Cutters","_ho_Wire Cutters_ho_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem (5)","Flashlight","_ho_Flashlight_ho_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem (6)","Boating License","_ho_Boating License_ho_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem (7)","Treasure Chest","_ho_Treasure Chest_ho_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem (8)","Rose","_ho_Rose_ho_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem (9)","Mushroom","_ho_Mushroom_ho_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem Breadge","Breadge","_ho_Breadge_ho_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem Breadge/Breadge Total Text","9","_ho_9_ho_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem Crystal Sample","Crystal Sample","_ho_Crystal Sample_ho_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem Fezziwig gem","Magical Gem","_ho_Magical Gem_ho_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem MountainKeys","Basement Key","_ho_Basement Key_ho_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem Oil","Oil","_ho_Oil_ho_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem Oil/Oil Total Text","4","_ho_4_ho_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem StationKeys","Station Key","_ho_Station Key_ho_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Special Items/Anchor","Anchor","_ho_Anchor_ho_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Special Items/Boots","Boots","_ho_Boots_ho_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Special Items/Boots Upgrade","Boots+","_ho_Boots+_ho_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Special Items/Scroll of Realigning","Scroll of Realigning","_ho_Scroll of Realigning_ho_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Special Items/Scroll Scrap","Scroll Scap","_ho_Scroll Scap_ho_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Text/ItemNameText","Collection","_ho_Collection_ho_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/WorldMapPanel/Text/AreaNameText","Map","_ho_Map_ho_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/WorldMapPanel/Text/AreaNameTextBG","Map","_ho_Map_ho_",
"ArtifactCanvas/ArtifactFrame/Tabs/Realigning Tabs/LoadTextHolder/Load TMP Text","Load!","_ho_Load!_ho_",
"ArtifactCanvas/ArtifactFrame/Tabs/Realigning Tabs/SaveTextHolder/Save TMP Text","Save!","_ho_Save!_ho_",
"Map/EightPuzzle/Cave STile (1)/Objects/Warning Sign@0:0","DANGER: Light
Sensitive Fungi.","_ho_DANGER: Light
Sensitive Fungi._ho_",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Chad@0:0","Ha! You've walked right into my trap, Explorer!","_ho_Ha! You've walked right into my trap, Explorer!_ho_",
