"Slider.v1.0.11","Unity.v2022.3.44f1","(file format explainer)->","Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
about them in normal usage. However, if your localization file seems to
be corrupted, these rules may be helpful for debugging purposes...
- In general, any consecutive string of \r and \n (in any order) will be
  treated as one SINGLE line break, except within an enclosed context
- The first 4 rows can be arbitrarily long
  - The first cell of first row is used to store this block of instruction
    text
  - The first 3 cells of the fourth row is used as headers
  - All other cells in the first and fourth rows are ignored
  - Columns in the second row alternate between property and value (ex.
    ' foo | 1 | bar | 3.5 | ... '
    - Any whitespaces before and after the property name are ignored
  - Columns in the third row are exclusively comments for properties in the
    second row
- Every following line can include any number of cells, but only the
  first three will be parsed (you can use the rest as comments if needed)
- The file must end in a sequence of \r and \n's
- Every cell containing a ^, \r, or \n must be enclosed in ""
  - If a "" is encountered right after a non-enclosed separator, \r, or \n,
    then the parser is said to enter an ""enclosed context"", such context
    ends immediately when a non-escaped "" that is not followed by \r, \n,
    or a separator is encountered
  - "" within each cell should be escaped using another "" in front of it,
  - If a "" is encountered in a non-enclosed context, and it is not right
    after a separator, \r, or \n, then it is entirely ignored
  - If a non-escaped "" is encountered in an enclosed context...
    - If it is followed by a separator, \r, or \n, then it is considered
      the closing quote of the current context
    - Otherwise, it is ignored
  - If a separator, \r, or \n is encountered while in an enclosed context,
    it will be preserved
",
"IsValid"," ","NonDialogueFontScale"," ","DialogueFontScale"," ",
"Set to 1 allow the parser to read this file, otherwise it will be skipped and the default English localization will be used as fallback"," ","Float value that scales font size of all dialogue text, this is an option separate because the English font of this game is *really* tiny, like about 1/3 of regular font when under the same font size."," ","Float value that scales font size of all dialogue text, this is an option separate because the English font of this game is *really* tiny, like about 1/3 of regular font when under the same font size. Recommended setting is around 0.3~0.6."," ",
"Path","Orig","Translation",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@0:0","S-s-s-s-so... c-cold...","_ho_S-s-s-s-so... c-cold..._ho_",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@1:0","Th-thanks for thawing me out.","_ho_Th-thanks for thawing me out._ho_",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@10:0","S-s-so... w-warm...","_ho_S-s-so... w-warm..._ho_",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@2:0","I wish I had a bu-bu-bucket of lava to keep me warm.","_ho_I wish I had a bu-bu-bucket of lava to keep me warm._ho_",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@2:1","Fingers... g-g-getting co-cold already.","_ho_Fingers... g-g-getting co-cold already._ho_",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@2:2","Can you h-h-help me find a b-b-bucket?","_ho_Can you h-h-help me find a b-b-bucket?_ho_",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@3:0","You need a k-k-key? I've got one r-r-right here.","_ho_You need a k-k-key? I've got one r-r-right here._ho_",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@3:1","Ah shoot, my f-f-fingers are still f-frozen. ","_ho_Ah shoot, my f-f-fingers are still f-frozen. _ho_",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@3:2","If you bring me a b-b-bucket and fill it with la-v-va, I can grab that k-key.","_ho_If you bring me a b-b-bucket and fill it with la-v-va, I can grab that k-key._ho_",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@4:0","N-n-now we just need to <wavy>pour</wavy> in some l-l-lava.","_ho_N-n-now we just need to <wavy>pour</wavy> in some l-l-lava._ho_",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@5:0","Ah that feels g-g-good... but it won't last like this. N-need to <wavy>pour</wavy> lava in the b-bucket.","_ho_Ah that feels g-g-good... but it won't last like this. N-need to <wavy>pour</wavy> lava in the b-bucket._ho_",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@6:0","I can f-f-feel my hands again!","_ho_I can f-f-feel my hands again!_ho_",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@6:1","Take this key to the basement, I'm sure there's s-so-some-thing cool in there.","_ho_Take this key to the basement, I'm sure there's s-so-some-thing cool in there._ho_",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@7:0","Now h-h-ho-how do I get down from here.","_ho_Now h-h-ho-how do I get down from here._ho_",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@8:0","Ug-g-g-g-ghh it's so c-c-old here...","_ho_Ug-g-g-g-ghh it's so c-c-old here..._ho_",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@8:1","Is he ready-ddy yet?","_ho_Is he ready-ddy yet?_ho_",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@9:0","W-w-woah! It fell through!","_ho_W-w-woah! It fell through!_ho_",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@9:1","Looks li-like the c-cart stayed safe too.","_ho_Looks li-like the c-cart stayed safe too._ho_",
"Map/EightPuzzle/MountainSTile (2)/Objects/Basement Dude@0:0","Oi, I've been breaking me back breaking these crates...","_ho_Oi, I've been breaking me back breaking these crates..._ho_",
"Map/EightPuzzle/MountainSTile (2)/Objects/Basement Dude@0:1","The last rock I threw broke. Ye don't have anything else to break crates do ye?","_ho_The last rock I threw broke. Ye don't have anything else to break crates do ye?_ho_",
"Map/EightPuzzle/MountainSTile (2)/Objects/Basement Dude@0:2","Something large and heavy should do the trick.","_ho_Something large and heavy should do the trick._ho_",
"Map/EightPuzzle/MountainSTile (2)/Objects/Basement Dude@1:0","Oi that bucket looks heavy. Not heavy enough to break a crate, though.","_ho_Oi that bucket looks heavy. Not heavy enough to break a crate, though._ho_",
"Map/EightPuzzle/MountainSTile (2)/Objects/Basement Dude@2:0","That was a smashingly good idea!","_ho_That was a smashingly good idea!_ho_",
"Map/EightPuzzle/MountainSTile (2)/Objects/Basement Dude@2:1","Oh. Door's still locked, huh. Can't smash that...","_ho_Oh. Door's still locked, huh. Can't smash that..._ho_",
"Map/EightPuzzle/MountainSTile (2)/Objects/Basement Dude@2:2","I reckon someone 'round here should have that key.","_ho_I reckon someone 'round here should have that key._ho_",
"Map/EightPuzzle/MountainSTile (2)/Objects/Basement Dude@3:0","Ye found the key!","_ho_Ye found the key!_ho_",
"Map/EightPuzzle/MountainSTile (2)/Objects/Basement Dude@3:1","Still need something to break that crate though. Some kinda... large... heavy object.","_ho_Still need something to break that crate though. Some kinda... large... heavy object._ho_",
"Map/EightPuzzle/MountainSTile (2)/Objects/Basement Dude@3:2","Some kinda large, heavy, metal, throwable object.","_ho_Some kinda large, heavy, metal, throwable object._ho_",
"Map/EightPuzzle/MountainSTile (2)/Objects/Basement Dude@3:3","To be quite frank, I reckon some sorta anchor would do wonders.","_ho_To be quite frank, I reckon some sorta anchor would do wonders._ho_",
"Map/EightPuzzle/MountainSTile (2)/Objects/Basement Dude@3:4","I used to break crates with anchors all the time back in my swashbuckling days.","_ho_I used to break crates with anchors all the time back in my swashbuckling days._ho_",
"Map/EightPuzzle/MountainSTile (2)/Objects/Basement Dude@3:5","They worked wonders, waaayyyy better than all the other large, heavy, metal throwable objects we had.","_ho_They worked wonders, waaayyyy better than all the other large, heavy, metal throwable objects we had._ho_",
