"Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
about them in normal usage. However, if your localization file seems to
be corrupted, these rules may be helpful for debugging purposes...
- In general, any consecutive string of \r and \n (in any order) will be
  treated as one SINGLE line break, except within an enclosed context
- The first 4 rows can be arbitrarily long
  - The first cell of first row is used to store this block of instruction
    text
  - The first 3 cells of the fourth row is used as headers
  - All other cells in the first and fourth rows are ignored
  - Columns in the second row alternate between property and value (ex.
    ' foo | 1 | bar | 3.5 | ... '
    - Any whitespaces before and after the property name are ignored
  - Columns in the third row are exclusively comments for properties in the
    second row
- Every following line can include any number of cells, but only the
  first three will be parsed (you can use the rest as comments if needed)
- The file must end in a sequence of \r and \n's
- Every cell containing a ^, \r, or \n must be enclosed in ""
  - If a "" is encountered right after a non-enclosed separator, \r, or \n,
    then the parser is said to enter an ""enclosed context"", such context
    ends immediately when a non-escaped "" that is not followed by \r, \n,
    or a separator is encountered
  - "" within each cell should be escaped using another "" in front of it,
  - If a "" is encountered in a non-enclosed context, and it is not right
    after a separator, \r, or \n, then it is entirely ignored
  - If a non-escaped "" is encountered in an enclosed context...
    - If it is followed by a separator, \r, or \n, then it is considered
      the closing quote of the current context
    - Otherwise, it is ignored
  - If a separator, \r, or \n is encountered while in an enclosed context,
    it will be preserved
",
"IsValid","0","NonDialogueFontScale","0.9","DialogueFontScale","0.4",
"Set to 1 allow the parser to read this file, otherwise it will be skipped and the default English localization will be used as fallback"," ","Float value that scales font size of all dialogue text, this is an option separate because the English font of this game is *really* tiny, like about 1/3 of regular font when under the same font size."," ","Float value that scales font size of all dialogue text, this is an option separate because the English font of this game is *really* tiny, like about 1/3 of regular font when under the same font size. Recommended setting is around 0.3~0.6."," ",
"Path","Orig","Translation",
"__AreaDisplayName/Caves","Chloro Caves","_arrr_Chloro Caves_arrr_",
"__AreaDisplayName/Desert","The Impact Zone","_arrr_The Impact Zone_arrr_",
"__AreaDisplayName/Factory","Rocket Factory Center","_yar_Rocket Factory Cente_yar_",
"__AreaDisplayName/Jungle","Canopy Town","_ho_Canopy Town_ho_",
"__AreaDisplayName/MagiTech","MRI","_yar_MRI_yar_",
"__AreaDisplayName/Military","The Flats","_arrr_The Flats_arrr_",
"__AreaDisplayName/Mountain","Crystal Mines","_arrr_Crystal Mines_arrr_",
"__AreaDisplayName/None","None","_ho_None_ho_",
"__AreaDisplayName/Ocean","Shifting Seas","_ho_Shifting Seas_ho_",
"__AreaDisplayName/Village","Stonybrook Village","_ho_Stonybrook Village_ho_",
"__Collectibles/Caves/Boating License","Boating License","_arrr_Boating License_arrr_",
"__Collectibles/Caves/Breadge","Breadge","_yar_Breadge_yar_",
"__Collectibles/Caves/Flashlight","Flashlight","_yar_Flashlight_yar_",
"__Collectibles/Caves/Slider 2","Slider 2","_ho_Slider 2_ho_",
"__Collectibles/Caves/Slider 3","Slider 3","_ho_Slider 3_ho_",
"__Collectibles/Caves/Slider 4","Slider 4","_yar_Slider 4_yar_",
"__Collectibles/Caves/Slider 5","Slider 5","_ho_Slider 5_ho_",
"__Collectibles/Caves/Slider 6","Slider 6","_ho_Slider 6_ho_",
"__Collectibles/Caves/Slider 7","Slider 7","_ho_Slider 7_ho_",
"__Collectibles/Caves/Slider 8","Slider 8","_yar_Slider 8_yar_",
"__Collectibles/Caves/Slider 9","Slider 9","_arrr_Slider 9_arrr_",
"__Collectibles/Caves/Station Key","Station Key","_yar_Station Key_yar_",
"__Collectibles/Caves/Wire Cutters","Wire Cutters","_yar_Wire Cutters_yar_",
"__Collectibles/Caves/Wrench","Wrench","_arrr_Wrench_arrr_",
"__Collectibles/Desert/$1000000","$1000000","_ho_$1000000_ho_",
"__Collectibles/Desert/Breadge","Breadge","_arrr_Breadge_arrr_",
"__Collectibles/Desert/Scroll Frag","Scroll Frag","_arrr_Scroll Frag_arrr_",
"__Collectibles/Desert/Scroll of Realigning","Scroll of Realigning","_arrr_Scroll of Realigning_arrr_",
"__Collectibles/Desert/Scroll Scrap","Scroll Scrap","_yar_Scroll Scrap_yar_",
"__Collectibles/Desert/Skull","Skull","_yar_Skull_yar_",
"__Collectibles/Desert/Slider 2","Slider 2","_yar_Slider 2_yar_",
"__Collectibles/Desert/Slider 3","Slider 3","_yar_Slider 3_yar_",
"__Collectibles/Desert/Slider 4","Slider 4","_ho_Slider 4_ho_",
"__Collectibles/Desert/Slider 5","Slider 5","_arrr_Slider 5_arrr_",
"__Collectibles/Desert/Slider 6","Slider 6","_arrr_Slider 6_arrr_",
"__Collectibles/Desert/Slider 7","Slider 7","_yar_Slider 7_yar_",
"__Collectibles/Desert/Slider 8","Slider 8","_yar_Slider 8_yar_",
"__Collectibles/Desert/Slider 9","Slider 9","_arrr_Slider 9_arrr_",
"__Collectibles/Desert/Sunglasses","Sunglasses","_arrr_Sunglasses_arrr_",
"__Collectibles/Factory/Breadge","Breadge","_ho_Breadge_ho_",
"__Collectibles/Factory/Slider 1","Slider 1","_yar_Slider 1_yar_",
"__Collectibles/Factory/Slider 2","Slider 2","_arrr_Slider 2_arrr_",
"__Collectibles/Factory/Slider 3","Slider 3","_ho_Slider 3_ho_",
"__Collectibles/Factory/Slider 4","Slider 4","_ho_Slider 4_ho_",
"__Collectibles/Factory/Slider 5","Slider 5","_arrr_Slider 5_arrr_",
"__Collectibles/Factory/Slider 6","Slider 6","_arrr_Slider 6_arrr_",
"__Collectibles/Factory/Slider 7","Slider 7","_arrr_Slider 7_arrr_",
"__Collectibles/Factory/Slider 8","Slider 8","_arrr_Slider 8_arrr_",
"__Collectibles/Factory/Slider 9","Slider 9","_yar_Slider 9_yar_",
"__Collectibles/Factory/Slider Base","Slider Base","_ho_Slider Base_ho_",
"__Collectibles/Factory/Slider Walls","Slider Walls","_ho_Slider Walls_ho_",
"__Collectibles/Factory/Slider Wires","Slider Wires","_yar_Slider Wires_yar_",
"__Collectibles/Jungle/Boots","Boots","_ho_Boots_ho_",
"__Collectibles/Jungle/Boots Upgrade","Boots Upgrade","_arrr_Boots Upgrade_arrr_",
"__Collectibles/Jungle/Breadge","Breadge","_ho_Breadge_ho_",
"__Collectibles/Jungle/Slider 2 & 3","Slider 2 & 3","_yar_Slider 2 & 3_yar_",
"__Collectibles/Jungle/Slider 4","Slider 4","_ho_Slider 4_ho_",
"__Collectibles/Jungle/Slider 5","Slider 5","_ho_Slider 5_ho_",
"__Collectibles/Jungle/Slider 6","Slider 6","_ho_Slider 6_ho_",
"__Collectibles/Jungle/Slider 7","Slider 7","_ho_Slider 7_ho_",
"__Collectibles/Jungle/Slider 8","Slider 8","_arrr_Slider 8_arrr_",
"__Collectibles/Jungle/Slider 9","Slider 9","_ho_Slider 9_ho_",
"__Collectibles/MagiTech/Breadge","Breadge","_arrr_Breadge_arrr_",
"__Collectibles/MagiTech/Gem Fuel Recipe","Gem Fuel Recipe","_arrr_Gem Fuel Recipe_arrr_",
"__Collectibles/MagiTech/Gem Transporter","Gem Transporter","_yar_Gem Transporter_yar_",
"__Collectibles/MagiTech/Oil #1","Oil #1","_ho_Oil #1_ho_",
"__Collectibles/MagiTech/Oil #2","Oil #2","_ho_Oil #2_ho_",
"__Collectibles/MagiTech/Oil #3","Oil #3","_yar_Oil #3_yar_",
"__Collectibles/MagiTech/Oil #4","Oil #4","_yar_Oil #4_yar_",
"__Collectibles/MagiTech/Slider 1","Slider 1","_arrr_Slider 1_arrr_",
"__Collectibles/MagiTech/Slider 2","Slider 2","_yar_Slider 2_yar_",
