"Slider.v1.0.20","Unity.v2022.3.44f1","(file format explainer)->","Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
about them in normal usage. However, if your localization file seems to
be corrupted, these rules may be helpful for debugging purposes...
- The first 4 rows can be arbitrarily long
  - The first cell of first row is used to store this block of instruction
    text
  - The first 3 cells of the fourth row is used as headers
  - All other cells in the first and fourth rows are ignored
  - Columns in the second row alternate between property and value (ex.
    ' foo | 1 | bar | 3.5 | ... '
    - Any whitespaces before and after the property name are ignored
  - Columns in the third row are exclusively comments for properties in the
    second row
- Every following line can include any number of cells, but only the
  first four will be parsed (you can use the rest as comments if needed)
  - The fourth column is an optional metadata column
",
"IsValid","","NonDialogueFontScale","","DialogueFontScale","","Author","",
"Set to 1 allow the parser to read this file, otherwise it will be skipped and the default English localization will be used as fallback","","Float value that scales font size of all non-dialogue text, 1.0 for full size.","","Float value that scales font size of all dialogue text, 1.0 for full size.","","The author(s) of this file, will appear in credits","",
"Path","Orig","Translation","Metadata",
"Map/EightPuzzle/STile (1)/Objects/Door Repairman@0:0","Mon ami! This is a bit aside but...","扣尼吉哇!朋友,能不能帮帮忙...","",
"Map/EightPuzzle/STile (1)/Objects/Door Repairman@0:1","I need a Conductive Bob to fix this power box.","我需要一个[导电球]来修好这个电源.","",
"Map/EightPuzzle/STile (1)/Objects/Door Repairman@0:2","There's one in the northeast, marked on your map, but I don't have the tools to get it.","在[东北方]有一个,在你的地图上标好了.不过我没法把它挪过来.","",
"Map/EightPuzzle/STile (1)/Objects/Door Repairman@0:3","It'll keep the door open when fixed. Merci beaucoup!","把电源修好就能让门一直打开了.阿里嘎多!","",
"Map/EightPuzzle/STile (1)/Objects/Door Repairman@1:0","Bon appetit. Voila. Another ticket complete.","斯国以!任务完成.","",
"Map/EightPuzzle/STile (1)/Objects/Door Repairman@2:0","Bon appetit. Voila. Another ticket complete.","斯国以!任务完成.","",
"Map/EightPuzzle/STile (1)/Objects/Door Repairman@2:1","So... is the coffee machine fixed yet?","啊嘞...这个咖啡机修好了吗?","",
"Map/EightPuzzle/STile (1)/Objects/Door Repairman@3:0","Mon dieu, I'll fix it myself...","吗吉呆?我自己来修吧...","",
"Map/EightPuzzle/STile (1)/Objects/Door Repairman@4:0","You haven't seen a baguette around here, have you?","我的菠萝包去哪了,你见到了么?","",
"Map/EightPuzzle/STile (2)/Objects/MarkBrown@0:0","These magnets are fascinating!","这些[磁铁]好神奇!","",
"Map/EightPuzzle/STile (2)/Objects/MarkBrown@0:1","I'm not sure how to use them, though","可惜我不懂怎么使用.","",
"Map/EightPuzzle/STile (2)/Objects/MarkBrown@0:2","If you put your mind to it, you can do it!","如果你多动动脑筋,也许就能做到!","",
"Map/EightPuzzle/STile (2)/Objects/MarkBrown@1:0","Aha, you can connect them to the other giant magnets.","啊哈,你能把这些巨型磁铁连接起来.","",
"Map/EightPuzzle/STile (2)/Objects/MarkBrown@1:1","Always good to have another tool in the toolkit.","它会是你的好[工具]!","",
"Map/EightPuzzle/STile (2)/Objects/Worker Robot (2)@0:0","Halt! You do not have authorization to be here.","停!你的访问权限不足.","",
