"Slider.v1.0.13","Unity.v2022.3.44f1","(file format explainer)->","Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
about them in normal usage. However, if your localization file seems to
be corrupted, these rules may be helpful for debugging purposes...
- The first 4 rows can be arbitrarily long
  - The first cell of first row is used to store this block of instruction
    text
  - The first 3 cells of the fourth row is used as headers
  - All other cells in the first and fourth rows are ignored
  - Columns in the second row alternate between property and value (ex.
    ' foo | 1 | bar | 3.5 | ... '
    - Any whitespaces before and after the property name are ignored
  - Columns in the third row are exclusively comments for properties in the
    second row
- Every following line can include any number of cells, but only the
  first four will be parsed (you can use the rest as comments if needed)
  - The fourth column is an optional metadata column
",
"IsValid","","NonDialogueFontScale","","DialogueFontScale","","Author","",
"Set to 1 allow the parser to read this file, otherwise it will be skipped and the default English localization will be used as fallback","","Float value that scales font size of all non-dialogue text, 1.0 for full size.","","Float value that scales font size of all dialogue text, 1.0 for full size.","","The author(s) of this file, will appear in credits","",
"Path","Orig","Translation","Metadata",
"Magitech Hints@0","Hold <AltViewHold> to view the past","Hold <AltViewHold> to view the past","",
"Map/EightPuzzle/MagitechSTile (1) Past/Objects/Portal Operator 1/Canvas/Dialogue","","","TinyUnicode;1",
"Map/EightPuzzle/MagitechSTile (1) Past/Objects/Portal Operator 1/Canvas/Dialogue BG Font","","","PixelUnicodeFill;1",
"Map/EightPuzzle/MagitechSTile (1) Past/Objects/Portal Operator 1@0:0","Hey what are you- wait, you're the person with all the magical artifacts!","Hey what are you- wait, you're the person with all the magical artifacts!","",
"Map/EightPuzzle/MagitechSTile (1) Past/Objects/Portal Operator 1@0:1","Perfect! You have that <#2e44f0>Anchor</color>, right? I've been writing my thesis on how it affects time and space!","Perfect! You have that <#2e44f0>Anchor</color>, right? I've been writing my thesis on how it affects time and space!","",
"Map/EightPuzzle/MagitechSTile (1) Past/Objects/Portal Operator 1@1:0","I theorize that with the <#2e44f0>Anchor</color> artifact, we might be capable of separating timelines.","I theorize that with the <#2e44f0>Anchor</color> artifact, we might be capable of separating timelines.","",
"Map/EightPuzzle/MagitechSTile (1) Past/Objects/Portal Operator 1@1:1","Or more specifically, creating a <#c060c0><wavy>desync</wavy></color>!","Or more specifically, creating a <#c060c0><wavy>desync</wavy></color>!","",
"Map/EightPuzzle/MagitechSTile (1) Past/Objects/Portal Operator 1@2:0","Fascinating! <#c060c0><wavy>Desyncs</wavy></color>! I need to start writing my papers write away.","Fascinating! <#c060c0><wavy>Desyncs</wavy></color>! I need to start writing my papers write away.","",
"Map/EightPuzzle/MagitechSTile (1) Past/Objects/Portal Operator 1@2:1","There's so much possible with these.","There's so much possible with these.","",
"Map/EightPuzzle/MagitechSTile (1) Past/Objects/Portal Operator 1@3:0","Is this what it feels like?! A <#c060c0><wavy>desync</wavy></color>!","Is this what it feels like?! A <#c060c0><wavy>desync</wavy></color>!","",
"Map/EightPuzzle/MagitechSTile (1) Past/Objects/Portal Operator 1@4:0","These <#c060c0><wavy>desyncs</wavy></color> are so fascinating, they break all rules we know.","These <#c060c0><wavy>desyncs</wavy></color> are so fascinating, they break all rules we know.","",
