"Slider.v1.0.18","Unity.v2022.3.44f1","(file format explainer)->","Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
about them in normal usage. However, if your localization file seems to
be corrupted, these rules may be helpful for debugging purposes...
- The first 4 rows can be arbitrarily long
  - The first cell of first row is used to store this block of instruction
    text
  - The first 3 cells of the fourth row is used as headers
  - All other cells in the first and fourth rows are ignored
  - Columns in the second row alternate between property and value (ex.
    ' foo | 1 | bar | 3.5 | ... '
    - Any whitespaces before and after the property name are ignored
  - Columns in the third row are exclusively comments for properties in the
    second row
- Every following line can include any number of cells, but only the
  first four will be parsed (you can use the rest as comments if needed)
  - The fourth column is an optional metadata column
",
"IsValid","0","NonDialogueFontScale","1.0","DialogueFontScale","1.0","Author","Anonymous",
"Set to 1 allow the parser to read this file, otherwise it will be skipped and the default English localization will be used as fallback","","Float value that scales font size of all non-dialogue text, 1.0 for full size.","","Float value that scales font size of all dialogue text, 1.0 for full size.","","The author(s) of this file, will appear in credits","",
"Path","Orig","Translation","Metadata",
"__AreaDisplayName/Caves","Chloro Caves","水帘洞","",
"__AreaDisplayName/Desert","The Impact Zone","撞击区","",
"__AreaDisplayName/Factory","Rocket Factory Center","火箭工厂","",
"__AreaDisplayName/Jungle","Canopy Town","树冠园区","",
"__AreaDisplayName/MagiTech","MRI","M.R.I.","",
"__AreaDisplayName/Military","The Flats","平原","",
"__AreaDisplayName/Mountain","Crystal Mines","水晶矿","",
"__AreaDisplayName/None","None","无","",
"__AreaDisplayName/Ocean","Shifting Seas","翻转海","",
"__AreaDisplayName/Village","Stonybrook Village","石头镇","",
"__Collectibles/Caves/Boating License","Boating License","驾照","",
"__Collectibles/Caves/Breadge","Breadge","小面包","",
"__Collectibles/Caves/Flashlight","Flashlight","手电筒","",
"__Collectibles/Caves/Slider 2","Slider 2","滑块2","",
"__Collectibles/Caves/Slider 3","Slider 3","滑块3","",
