"Slider.v1.0.16b","Unity.v2022.3.44f1","(file format explainer)->","Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
about them in normal usage. However, if your localization file seems to
be corrupted, these rules may be helpful for debugging purposes...
- The first 4 rows can be arbitrarily long
  - The first cell of first row is used to store this block of instruction
    text
  - The first 3 cells of the fourth row is used as headers
  - All other cells in the first and fourth rows are ignored
  - Columns in the second row alternate between property and value (ex.
    ' foo | 1 | bar | 3.5 | ... '
    - Any whitespaces before and after the property name are ignored
  - Columns in the third row are exclusively comments for properties in the
    second row
- Every following line can include any number of cells, but only the
  first four will be parsed (you can use the rest as comments if needed)
  - The fourth column is an optional metadata column
",
"IsValid","","NonDialogueFontScale","","DialogueFontScale","","Author","",
"Set to 1 allow the parser to read this file, otherwise it will be skipped and the default English localization will be used as fallback","","Float value that scales font size of all non-dialogue text, 1.0 for full size.","","Float value that scales font size of all dialogue text, 1.0 for full size.","","The author(s) of this file, will appear in credits","",
"Path","Orig","Translation","Metadata",
"Map/EightPuzzle/STile (1)/Objects/Door Repairman/Canvas/Dialogue","","","TinyUnicode;1",
"Map/EightPuzzle/STile (1)/Objects/Door Repairman/Canvas/Dialogue BG Font","","","PixelUnicodeFill;1",
"Map/EightPuzzle/STile (1)/Objects/Door Repairman@0:0","Mon ami! This is a bit aside but...","안녕하세요 친구! 좀 다른 얘기지만...","",
"Map/EightPuzzle/STile (1)/Objects/Door Repairman@0:1","I need a Conductive Bob to fix this power box.","이 전원 박스를 고치려면 전도성 구슬이 필요해요.","",
"Map/EightPuzzle/STile (1)/Objects/Door Repairman@0:2","There's one in the northeast, marked on your map, but I don't have the tools to get it.","북동쪽에 하나 있고 지도에 표시되어 있는데, 제가 그걸 가져올 도구가 없어요.","",
"Map/EightPuzzle/STile (1)/Objects/Door Repairman@0:3","It'll keep the door open when fixed. Merci beaucoup!","고치면 문을 열어둘 수 있을 거예요. 미리 감사를 전합니다. 정말 감사합니다!","",
"Map/EightPuzzle/STile (1)/Objects/Door Repairman@1:0","Bon appetit. Voila. Another ticket complete.","잘 됐군요. 자, 또 하나의 티켓이 완료됐네요.","",
"Map/EightPuzzle/STile (1)/Objects/Door Repairman@2:0","Bon appetit. Voila. Another ticket complete.","잘 됐군요. 자, 또 하나의 티켓이 완료됐네요.","",
"Map/EightPuzzle/STile (1)/Objects/Door Repairman@2:1","So... is the coffee machine fixed yet?","그래서... 커피 머신은 고쳐졌나요?","",
"Map/EightPuzzle/STile (1)/Objects/Door Repairman@3:0","Mon dieu, I'll fix it myself...","세상에, 제가 직접 고쳐야겠어요...","",
"Map/EightPuzzle/STile (1)/Objects/Door Repairman@4:0","You haven't seen a baguette around here, have you?","혹시 여기 주변에서 바게트 보신 적 있나요?","",
"Map/EightPuzzle/STile (2)/Objects/MarkBrown/Canvas/Dialogue","","","TinyUnicode;1",
"Map/EightPuzzle/STile (2)/Objects/MarkBrown/Canvas/Dialogue BG Font","","","PixelUnicodeFill;1",
"Map/EightPuzzle/STile (2)/Objects/MarkBrown@0:0","These magnets are fascinating!","이 자석들 정말 흥미롭네요!","",
