"Slider.v1.0.13","Unity.v2022.3.44f1","(file format explainer)->","Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
about them in normal usage. However, if your localization file seems to
be corrupted, these rules may be helpful for debugging purposes...
- In general, any consecutive string of \r and \n (in any order) will be
  treated as one SINGLE line break, except within an enclosed context
- The first 4 rows can be arbitrarily long
  - The first cell of first row is used to store this block of instruction
    text
  - The first 3 cells of the fourth row is used as headers
  - All other cells in the first and fourth rows are ignored
  - Columns in the second row alternate between property and value (ex.
    ' foo | 1 | bar | 3.5 | ... '
    - Any whitespaces before and after the property name are ignored
  - Columns in the third row are exclusively comments for properties in the
    second row
- Every following line can include any number of cells, but only the
  first three will be parsed (you can use the rest as comments if needed)
- The file must end in a sequence of \r and \n's
- Every cell containing a ^, \r, or \n must be enclosed in ""
  - If a "" is encountered right after a non-enclosed separator, \r, or \n,
    then the parser is said to enter an ""enclosed context"", such context
    ends immediately when a non-escaped "" that is not followed by \r, \n,
    or a separator is encountered
  - "" within each cell should be escaped using another "" in front of it,
  - If a "" is encountered in a non-enclosed context, and it is not right
    after a separator, \r, or \n, then it is entirely ignored
  - If a non-escaped "" is encountered in an enclosed context...
    - If it is followed by a separator, \r, or \n, then it is considered
      the closing quote of the current context
    - Otherwise, it is ignored
  - If a separator, \r, or \n is encountered while in an enclosed context,
    it will be preserved
",
"IsValid","","NonDialogueFontScale","","DialogueFontScale","","Author","",
"Set to 1 allow the parser to read this file, otherwise it will be skipped and the default English localization will be used as fallback","","Float value that scales font size of all dialogue text, this is an option separate because the English font of this game is *really* tiny, like about 1/3 of regular font when under the same font size.","","Float value that scales font size of all dialogue text, this is an option separate because the English font of this game is *really* tiny, like about 1/3 of regular font when under the same font size. Recommended setting is around 0.3~0.6.","","The author(s) of this file, will appear in credits","",
"Path","Orig","Translation",
"Magitech Hints@0","Hold <AltViewHold> to view the past","과거를 보려면 <AltViewHold>를 길게 누르세요.",
"Map/EightPuzzle/MagitechSTile (1) Past/Objects/Portal Operator 1@0:0","Hey what are you- wait, you're the person with all the magical artifacts!","어, 뭐 하시는- 잠깐, 당신이 그 마법 유물들을 전부 가져가신 분이시군요!",
"Map/EightPuzzle/MagitechSTile (1) Past/Objects/Portal Operator 1@0:1","Perfect! You have that <#2e44f0>Anchor</color>, right? I've been writing my thesis on how it affects time and space!","완벽해요! <#2e44f0>닻</color>을 가지고 계시죠? 저는 그게 시공간에 미치는 영향에 대한 논문을 쓰고 있어요!",
"Map/EightPuzzle/MagitechSTile (1) Past/Objects/Portal Operator 1@1:0","I theorize that with the <#2e44f0>Anchor</color> artifact, we might be capable of separating timelines.","제 이론에 따르면 <#2e44f0>닻</color> 유물로 시간선을 분리할 수 있을 거예요.",
"Map/EightPuzzle/MagitechSTile (1) Past/Objects/Portal Operator 1@1:1","Or more specifically, creating a <#c060c0><wavy>desync</wavy></color>!","더 정확히 말하면, <#c060c0><wavy>디싱크</wavy></color> 현상을 인위적으로 만들 수 있다는 거죠!",
"Map/EightPuzzle/MagitechSTile (1) Past/Objects/Portal Operator 1@2:0","Fascinating! <#c060c0><wavy>Desyncs</wavy></color>! I need to start writing my papers write away.","흥미진진해요! <#c060c0><wavy>디싱크</wavy></color>! 지금 당장 논문을 쓰기 시작해야겠어요.",
"Map/EightPuzzle/MagitechSTile (1) Past/Objects/Portal Operator 1@2:1","There's so much possible with these.","이걸로 가능한게 정말 무궁무진하죠.",
"Map/EightPuzzle/MagitechSTile (1) Past/Objects/Portal Operator 1@3:0","Is this what it feels like?! A <#c060c0><wavy>desync</wavy></color>!","이게 바로 그 느낌인가요?! <#c060c0><wavy>디싱크</wavy></color>예요!",
"Map/EightPuzzle/MagitechSTile (1) Past/Objects/Portal Operator 1@4:0","These <#c060c0><wavy>desyncs</wavy></color> are so fascinating, they break all rules we know.","이 <#c060c0><wavy>디싱크</wavy></color> 현상은 정말 흥미로워요. 우리가 알고 있던 모든 규칙을 부숴버리죠.",
"Map/EightPuzzle/MagitechSTile (1) Past/Objects/Portal Operator 1@5:0","I'm sure to win an award for this Desync paper!","이 디싱크 내용을 담은 논문으로 상을 받을 수 있을 거예요!",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@0:0","Buzz off.","저리 꺼져.",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@1:0","You'll never catch me!","날 절대 못 따라잡을 거야!",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@2:0","Aha! This time you'll finally meet your match explorer!","아하하! 탐험가! 이번엔 드디어 이 몸이 널 이겨버릴 차례다!",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@2:1","I've nabbed this powerful portal device, and with it we'll have our fiercest competition yet!","이 엄청난 포탈 장치를 손에 넣었지. 이걸로 우리의 가장 치열한 마지막 대결을 벌일 거라고!",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@2:2","First, let me turn this on...","먼저, 이걸 켜볼까...",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@3:0","Aha! It worked! And now, with this portal on we're gonna...","아하! 작동했어! 이제 이 포탈로 우리는...",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@3:1","We're gonna...","우리는...",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@3:2","...","...",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@3:3","I... I don't know...","난... 모르겠어...",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@3:4","It doesn't even matter. You're gonna win anyways. You always do.","어차피 이젠 상관없어. 넌 또 이길 거잖아. 항상 그랬듯이.",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@3:5","Why do I even try? I'm just... not good enough.","내가 왜 이러고 있는 거지? 난 그냥... 허접한 놈이야...",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@3:6","Here, just take it.","자, 그냥 가져가.",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@4:0","I need some time to myself.","혼자 있을 시간이 필요해.",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@5:0","I... I can't do anything right.","난... 아무것도 제대로 못 해.",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@5:1","I'm a terrible research assistant.","전 최악의 연구 조수인 것 같아요...",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@5:2","That explorer has helped you more than I have.","그 탐험가가 저보다 훨씬 더 도움이 됐잖아요.",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@5:3","What am I even here for? I just keep letting everyone down.","내가 여기서 뭘 하고 있는 거지...? 전 그냥 계속 모두를 실망시킬 뿐이에요.",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@5:4","I give up...","포기할게요...",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@5:5","What I could do, huh?","내가 뭘 할 수 있겠어, 응?",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@6:0","What I could do, huh?","내가 뭘 할 수 있겠냐고, 응?",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@7:0","Explorer! I have changed my ways.","탐험가! 내가 변했다!",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@7:1","The great Chad will now be of service to you!","이 몸, 위대한 채드가 이제 너를 받들겠다!",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@7:2","Lead the way, Explorer. We shall accomplish great things, together.","앞장서라, 탐험가. 우리는 함께 위대한 일을 이룰 거다!",
