"Slider.v1.0.20","Unity.v2022.3.44f1","(file format explainer)->","Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
about them in normal usage. However, if your localization file seems to
be corrupted, these rules may be helpful for debugging purposes...
- The first 4 rows can be arbitrarily long
  - The first cell of first row is used to store this block of instruction
    text
  - The first 3 cells of the fourth row is used as headers
  - All other cells in the first and fourth rows are ignored
  - Columns in the second row alternate between property and value (ex.
    ' foo | 1 | bar | 3.5 | ... '
    - Any whitespaces before and after the property name are ignored
  - Columns in the third row are exclusively comments for properties in the
    second row
- Every following line can include any number of cells, but only the
  first four will be parsed (you can use the rest as comments if needed)
  - The fourth column is an optional metadata column
",
"IsValid","1","NonDialogueFontScale","1.0","DialogueFontScale","1","Author","Anonymous",
"Set to 1 allow the parser to read this file, otherwise it will be skipped and the default English localization will be used as fallback","","Float value that scales font size of all non-dialogue text, 1.0 for full size.","","Float value that scales font size of all dialogue text, 1.0 for full size.","","The author(s) of this file, will appear in credits","",
"Path","Orig","Translation","Metadata",
"__AreaDisplayName/Caves","Chloro Caves","클로로 동굴","",
"__AreaDisplayName/Desert","The Impact Zone","격변의 땅","",
"__AreaDisplayName/Factory","Rocket Factory Center","로켓 공장 센터","",
"__AreaDisplayName/Jungle","Canopy Town","캐노피 타운","",
"__AreaDisplayName/MagiTech","MRI","MRI","",
"__AreaDisplayName/Military","The Flats","평원","",
"__AreaDisplayName/Mountain","Crystal Mines","크리스탈 광산","",
"__AreaDisplayName/None","None","비어있음","",
"__AreaDisplayName/Ocean","Shifting Seas","변화하는 바다","",
"__AreaDisplayName/Village","Stonybrook Village","스토니브룩 마을","",
"__Collectibles/$1000000","$1000000","1,000,000 달러","",
"__Collectibles/All Sliders","All Sliders","모든 슬라이더","",
"__Collectibles/Artifact","Artifact","유물","",
"__Collectibles/Basement Key","Basement Key","지하실 열쇠","",
"__Collectibles/Boating License","Boating License","보트 면허증","",
"__Collectibles/Boots","Boots","부츠","",
"__Collectibles/Boots Upgrade","Boots Upgrade","업그레이드된 부츠","",
"__Collectibles/Breadge","Breadge","빵 조각","",
"__Collectibles/Coffee","Coffee","커피","",
"__Collectibles/Crystal Sample","Crystal Sample","크리스탈 샘플","",
"__Collectibles/Explosives","Explosives","폭발물","",
"__Collectibles/Flashlight","Flashlight","손전등","",
"__Collectibles/Gem Fuel Recipe","Gem Fuel Recipe","보석 연료 제조법","",
"__Collectibles/Gem Transporter","Gem Transporter","보석 전송기","",
"__Collectibles/Golden Fish","Golden Fish","황금 물고기","",
"__Collectibles/Legendary Cheese Burger","Legendary Cheese Burger","전설의 치즈 버거","",
"__Collectibles/Magical Gem","Magical Gem","마법의 보석","",
"__Collectibles/Map","Map","지도","",
"__Collectibles/Mushroom","Mushroom","버섯","",
"__Collectibles/Oil #1","Oil #1","기름 #1","",
"__Collectibles/Oil #2","Oil #2","기름 #2","",
"__Collectibles/Oil #3","Oil #3","기름 #3","",
"__Collectibles/Oil #4","Oil #4","기름 #4","",
"__Collectibles/Rock","Rock","바위","",
"__Collectibles/Rose","Rose","장미","",
"__Collectibles/Scroll Scrap","Scroll Scrap","두루마리 조각","",
"__Collectibles/Scroll of Realigning","Scroll of Realigning","재정렬의 두루마리","",
