"Slider.v1.0.12","Unity.v2022.3.44f1","(file format explainer)->","Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
about them in normal usage. However, if your localization file seems to
be corrupted, these rules may be helpful for debugging purposes...
- In general, any consecutive string of \r and \n (in any order) will be
  treated as one SINGLE line break, except within an enclosed context
- The first 4 rows can be arbitrarily long
  - The first cell of first row is used to store this block of instruction
    text
  - The first 3 cells of the fourth row is used as headers
  - All other cells in the first and fourth rows are ignored
  - Columns in the second row alternate between property and value (ex.
    ' foo | 1 | bar | 3.5 | ... '
    - Any whitespaces before and after the property name are ignored
  - Columns in the third row are exclusively comments for properties in the
    second row
- Every following line can include any number of cells, but only the
  first three will be parsed (you can use the rest as comments if needed)
- The file must end in a sequence of \r and \n's
- Every cell containing a ^, \r, or \n must be enclosed in ""
  - If a "" is encountered right after a non-enclosed separator, \r, or \n,
    then the parser is said to enter an ""enclosed context"", such context
    ends immediately when a non-escaped "" that is not followed by \r, \n,
    or a separator is encountered
  - "" within each cell should be escaped using another "" in front of it,
  - If a "" is encountered in a non-enclosed context, and it is not right
    after a separator, \r, or \n, then it is entirely ignored
  - If a non-escaped "" is encountered in an enclosed context...
    - If it is followed by a separator, \r, or \n, then it is considered
      the closing quote of the current context
    - Otherwise, it is ignored
  - If a separator, \r, or \n is encountered while in an enclosed context,
    it will be preserved
",
"IsValid","","NonDialogueFontScale","","DialogueFontScale","","Author","",
"Set to 1 allow the parser to read this file, otherwise it will be skipped and the default English localization will be used as fallback","","Float value that scales font size of all dialogue text, this is an option separate because the English font of this game is *really* tiny, like about 1/3 of regular font when under the same font size.","","Float value that scales font size of all dialogue text, this is an option separate because the English font of this game is *really* tiny, like about 1/3 of regular font when under the same font size. Recommended setting is around 0.3~0.6.","","The author(s) of this file, will appear in credits","",
"Path","Orig","Translation",
"Map/EightPuzzle/Cave STile (1)/Objects/Warning Sign@0:0","DANGER: Light
Sensitive Fungi.","위험: 빛에\n민감한 곰팡이.",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Chad@0:0","Ha! You've walked right into my trap, Explorer!","하! 내 덫에 걸렸군, 탐험가!",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Chad@0:1","I, Chad, have in my possession one of the precious sliders you're collecting.","네가 수집하고 있는 귀중한 슬라이더 중 하나를 나, 채드 이 몸이 가지고 있지.",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Chad@0:2","You can only win it if you beat me at my favorite video game!","내가 제일 좋아하는 비디오 게임에서 나를 이겨야만 얻을 수 있다고!",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Chad@0:3","Which is installing 
right this moment...","지금 바로 \n다운 받고 있어...",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Chad@1:0","WHAT","뭐야",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Chad@1:1","Grr... next time we'll settle this for sure.","그으...다음판에는 확실히 널 눌러버릴거야.",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Chad@2:0","Just... just one more round! I'm starting to get good with dice.","한 판... 한 판만 더! 이제 진짜 주사위 잘 뜰거라고.",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Chad@3:0","...","...",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Switch Operator@0:0","Heyo! So funny story.","헤이! 재밌는 얘기 좀 들어봐.",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Switch Operator@0:1","I was doing maintenance on the power cause the line got chewed out. When a RAT showed up and started squeakin' about. Gave me a lil' jump and I tripped. Flipped the switch and doors shut, and dropped my keys. Then that darn RAT took 'em! And now here I am. In a bit of a tickle one might say.","여기 전선이 갉아먹혀서 전원을 정비하고 있었는데. 그 망할 쥐가 나타나서 삐걱거리기 시작했어. 살짝 뛰다가 넘어졌지. 스위치와 문을 닫고 열쇠를 떨어뜨려버렸고. 그리고 그 망할 쥐가 열쇠를 가져갔어! 그리고 지금 여기 있어. 약간 핑크한 느낌이야.",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Switch Operator@0:2","Sorry I meant pickle.","아 미안, 피클을 잘못 말했네.",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Switch Operator@0:3","Anyways I'd owe you a lunch if you got me my keys back.","어쨌든 열쇠 돌려주면 점심 한 끼 사줄게.",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Switch Operator@1:0","Man, you see that computer explode too? That old hardware really can't handle those kinda games huh.","저 컴퓨터 폭발하는 거 봤어? 저 오래된 하드웨어는 그런 종류의 게임을 처리 할 수 없거든.",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Switch Operator@1:1","Anyway, let me know if you find my keys.","어쨌든 내 열쇠 찾으면 알려줘.",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Switch Operator@2:0","Heyo, you got the key!","와아, 열쇠를 찾았구나!",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Switch Operator@3:0","Thanks for grabbing it, don't know what I would do without ya. Really, I don't know how I could thank you enough. Oh! I owe you a lunch, don't I? Haha well I can share some of what I brought today if you want. It's homemade pickles! And no, I don't mean tickles. That would be weird. Let me know if you want to try one, they're super juicy! No? Okay... well anyways thanks for all your help.","가져다줘서 고마워, 너 없이 어떻게 살아나왔을지 모르겠네. 정말, 어떻게 감사해야 할지 모르겠어. 오! 내가 점심 한 끼 빚진 거지? 원한다면 내가 오늘 가져온 음식을 나눠줄게. 직접 담근 피클이야! 핑크를 말하는 게 아니야. 그건 어색하지. 먹어보고 싶으면 알려줘. 정말 맛있다고! 싫어? 알았어... 어쨌든 도와줘서 고마워.",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Switch Operator@3:1","No really, thanks a lot.","아니, 정말 고마워.",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Switch Operator@4:0","Heyo thanks a ton, really.","정말 고마워. 진짜로.",
"Map/EightPuzzle/Cave STile (4)/All Tile Maps/House Tile Maps/Decorations/Switch Operator@4:1","The Factory foreman would've been ON ME if it wasn't fixed.","안 고쳐졌으면 공장장이 날 불렀을 거야",
"Map/EightPuzzle/Cave STile (4)/Objects/Blind Worker@0:0","Someone there? Welcome to the Cavern Station!","거기 누구 있어요? 아, 동굴 정거장에 오신 걸 환영합니다!",
"Map/EightPuzzle/Cave STile (4)/Objects/Blind Worker@0:1","I'd show you in, but I can't quite see the door.","안내해 드리고 싶은데 문이 잘 안 보여요.",
"Map/EightPuzzle/Cave STile (4)/Objects/Blind Worker@1:0","Ah... so dark again.","아... 또 어두워졌네.",
"Map/EightPuzzle/Cave STile (4)/Objects/Blind Worker@2:0","There's the door! And my work bench!","저기 문이 있어요! 그리고 내 작업대도!",
"Map/EightPuzzle/Cave STile (4)/Objects/Blind Worker@3:0","Thanks for getting things up and running again.","다시 작동시켜줘서 고마워요.",
"Map/EightPuzzle/Cave STile (4)/Objects/Blind Worker@3:1","Ever since they put me on fungus removal duty it's been hard to see.","곰팡이 제거 작업을 맡게 된 이후로 앞이 잘 안 보였어요.",
