"Slider.v1.0.12","Unity.v2022.3.44f1","(file format explainer)->","Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
about them in normal usage. However, if your localization file seems to
be corrupted, these rules may be helpful for debugging purposes...
- In general, any consecutive string of \r and \n (in any order) will be
  treated as one SINGLE line break, except within an enclosed context
- The first 4 rows can be arbitrarily long
  - The first cell of first row is used to store this block of instruction
    text
  - The first 3 cells of the fourth row is used as headers
  - All other cells in the first and fourth rows are ignored
  - Columns in the second row alternate between property and value (ex.
    ' foo | 1 | bar | 3.5 | ... '
    - Any whitespaces before and after the property name are ignored
  - Columns in the third row are exclusively comments for properties in the
    second row
- Every following line can include any number of cells, but only the
  first three will be parsed (you can use the rest as comments if needed)
- The file must end in a sequence of \r and \n's
- Every cell containing a ^, \r, or \n must be enclosed in ""
  - If a "" is encountered right after a non-enclosed separator, \r, or \n,
    then the parser is said to enter an ""enclosed context"", such context
    ends immediately when a non-escaped "" that is not followed by \r, \n,
    or a separator is encountered
  - "" within each cell should be escaped using another "" in front of it,
  - If a "" is encountered in a non-enclosed context, and it is not right
    after a separator, \r, or \n, then it is entirely ignored
  - If a non-escaped "" is encountered in an enclosed context...
    - If it is followed by a separator, \r, or \n, then it is considered
      the closing quote of the current context
    - Otherwise, it is ignored
  - If a separator, \r, or \n is encountered while in an enclosed context,
    it will be preserved
",
"IsValid","","NonDialogueFontScale","","DialogueFontScale","","Author","",
"Set to 1 allow the parser to read this file, otherwise it will be skipped and the default English localization will be used as fallback","","Float value that scales font size of all dialogue text, this is an option separate because the English font of this game is *really* tiny, like about 1/3 of regular font when under the same font size.","","Float value that scales font size of all dialogue text, this is an option separate because the English font of this game is *really* tiny, like about 1/3 of regular font when under the same font size. Recommended setting is around 0.3~0.6.","","The author(s) of this file, will appear in credits","",
"Path","Orig","Translation",
"Map/EightPuzzle/STile (1)/Objects/Downstairs/Wanda@0:0","Are you here for the interview? Welcome! What's your name?","면접 보러 오셨나요? 환영합니다! 이름이 어떻게 되세요?",
"Map/EightPuzzle/STile (1)/Objects/Downstairs/Wanda@0:1",".........",".........",
"Map/EightPuzzle/STile (1)/Objects/Downstairs/Wanda@0:2","Well you can head upstairs!","위층으로 올라가시면 됩니다!",
"Map/EightPuzzle/STile (1)/Objects/Downstairs/Wanda@1:0","What?? He made you start working??","뭐라고요?? 그분이 벌써 일을 시키셨다고요??",
"Map/EightPuzzle/STile (1)/Objects/Downstairs/Wanda@1:1","Ugh he's not even the right person... whatever.","아... 그분은 심지어 담당자도 아니신데... 뭐 어쩔 수 없네요.",
"Map/EightPuzzle/STile (1)/Objects/Downstairs/Wanda@1:2","Clearly you're capable, sorry this place is a bit hectic.","확실히 능력이 있으신 것 같아요. 이곳이 좀 혼란스러워서 죄송해요.",
"Map/EightPuzzle/STile (1)/Objects/Downstairs/Wanda@2:0","Make sure to get Barron his shapes, you can probably find them next to the big Shop Blob.","배런에게 도형들을 꼭 가져다 드리세요. 아마 커다란 상점 방울 옆에서 찾을 수 있을 거예요.",
"Map/EightPuzzle/STile (1)/Objects/Downstairs/Wanda@3:0","I hope you aren't too offput by the work here.","여기서 하는 일 때문에 너무 실망하지 않으셨으면 좋겠어요.",
"Map/EightPuzzle/STile (1)/Objects/Downstairs/Wanda@3:1","Everyone gets a bit of imposter syndrome when they start.","처음 시작할 때는 다들 약간의 가면 증후군을 겪어요.",
"Map/EightPuzzle/STile (1)/Objects/Upstairs/Joe@0:0","Ah, perfect timing junior. I can't figure out how-","아, 시기가 딱 좋네요, 신입 분. 어떻게 해야 할지 모르겠어서-",
"Map/EightPuzzle/STile (1)/Objects/Upstairs/Joe@0:1","Er... Barron wants you to ""send some sticks up"".","어... 배런이 ""막대기를 좀 보내달라""고 하네요.",
"Map/EightPuzzle/STile (1)/Objects/Upstairs/Joe@1:0","Hm... that looks right doesn't it?","음... 그게 맞는거 같지 않나요?",
"Map/EightPuzzle/STile (1)/Objects/Upstairs/Joe@1:1","It's probably not sending any blobs because there's no target.","아마도 목표물이 없어서 방울을 보내지 않는 것 같아요.",
"Map/EightPuzzle/STile (1)/Objects/Upstairs/Joe@1:2","Well, you should probably go talk to HR. You seem lost.","음, 아마 인사부에 가서 얘기해 보셔야 할 것 같아요. 좀 길을 잃은 것 같네요.",
"Map/EightPuzzle/STile (1)/Objects/Upstairs/Joe@1:3","Who sent you here anyway?","누가 당신을 여기로 보냈어요?",
"Map/EightPuzzle/STile (1)/Objects/Upstairs/Joe@2:0","Hm... that looks right doesn't it?","음... 그게 맞는거 같지 않나요?",
"Map/EightPuzzle/STile (1)/Objects/Upstairs/Joe@2:1","It's probably not sending any blobs because there's no target.","아마도 목표물이 없어서 방울을 보내지 않는 것 같아요.",
"Map/EightPuzzle/STile (1)/Objects/Upstairs/Joe@2:2","Well, you should probably go talk to HR. You seem lost.","음, 아마 인사부에 가서 얘기해 보셔야 할 것 같아요. 좀 길을 잃은 것 같네요.",
"Map/EightPuzzle/STile (1)/Objects/Upstairs/Joe@2:3","Who sent you here anyway?","누가 당신을 여기로 보냈어요?",
"Map/EightPuzzle/STile (1)/Objects/Upstairs/Joe@3:0","This work is really tough.","이 일은 정말 힘들어요.",
"Map/EightPuzzle/STile (1)/Objects/Upstairs/Joe@4:0","Hey.","안녕하세요.",
"Map/EightPuzzle/STile (1)/Objects/Upstairs/Joe@5:0","Oh uh... I've got my sticks sending up.","아, 저는 막대기를 위로 보내고 있어요.",
"Map/EightPuzzle/STile (1)/Objects/Upstairs/Joe@5:1","I've also been having some trouble with my J*ra cards so I had to sort that out.","제 J*ra 카드에도 문제가 있어서 그것도 정리해야 했어요.",
"Map/EightPuzzle/STile (1)/Objects/Upstairs/Joe@5:2","Welcome.","환영합니다.",
"Map/EightPuzzle/STile (1)/Objects/Upstairs/Joe@6:0","Welcome.","환영합니다.",
"Map/EightPuzzle/STile (1)/Objects/Upstairs/Joe@7:0","Sorry I'm taking a break.","죄송해요, 지금 휴식 중이에요.",
"Map/EightPuzzle/STile (1)/Objects/Upstairs/Joe@8:0","Guess I should start packing my stuff up.","이제 짐을 싸기 시작해야겠네요.",
"Map/EightPuzzle/STile (2)/Objects/Upstairs/Justin@0:0","Great!!! It's ready for you to take a look, boss! (Anytime!)","좋아요!!! 사장님께서 확인하실 수 있게 준비됐어요! (언제든지요!)",
"Map/EightPuzzle/STile (2)/Objects/Upstairs/Justin@0:1","No problem boss! I'll have it ready for you whenever!","문제 없어요, 사장님! 준비되는 대로 보여드릴게요!",
"Map/EightPuzzle/STile (2)/Objects/Upstairs/Justin@1:0","...","...",
"Map/EightPuzzle/STile (2)/Objects/Upstairs/Justin@10:0","A Fish Bowl?","어항인가요?",
"Map/EightPuzzle/STile (2)/Objects/Upstairs/Justin@10:1","With the DUPLICATOR you should have enough components! (Probably)","복제기가 있으면 충분한 부품이 있을 거예요! (아마도요)",
"Map/EightPuzzle/STile (2)/Objects/Upstairs/Justin@11:0","The Recipe OS is almost complete!","레시피 OS가 거의 완성됐어요!",
"Map/EightPuzzle/STile (2)/Objects/Upstairs/Justin@12:0","Is... is it over? No more research?","
끝... 난 건가요? 더 이상 연구가 없나요?",
"Map/EightPuzzle/STile (2)/Objects/Upstairs/Justin@13:0","Researcher, I think you've done it! We've discovered all the recipes!","연구원님, 해내신 것 같아요! 모든 레시피를 발견했어요!",
"Map/EightPuzzle/STile (2)/Objects/Upstairs/Justin@14:0","<var>jungleUIHintText</var>","<var>jungleUIHintText</var>",
