"Slider.v1.0.12","Unity.v2022.3.44f1","(file format explainer)->","Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
about them in normal usage. However, if your localization file seems to
be corrupted, these rules may be helpful for debugging purposes...
- In general, any consecutive string of \r and \n (in any order) will be
  treated as one SINGLE line break, except within an enclosed context
- The first 4 rows can be arbitrarily long
  - The first cell of first row is used to store this block of instruction
    text
  - The first 3 cells of the fourth row is used as headers
  - All other cells in the first and fourth rows are ignored
  - Columns in the second row alternate between property and value (ex.
    ' foo | 1 | bar | 3.5 | ... '
    - Any whitespaces before and after the property name are ignored
  - Columns in the third row are exclusively comments for properties in the
    second row
- Every following line can include any number of cells, but only the
  first three will be parsed (you can use the rest as comments if needed)
- The file must end in a sequence of \r and \n's
- Every cell containing a ^, \r, or \n must be enclosed in ""
  - If a "" is encountered right after a non-enclosed separator, \r, or \n,
    then the parser is said to enter an ""enclosed context"", such context
    ends immediately when a non-escaped "" that is not followed by \r, \n,
    or a separator is encountered
  - "" within each cell should be escaped using another "" in front of it,
  - If a "" is encountered in a non-enclosed context, and it is not right
    after a separator, \r, or \n, then it is entirely ignored
  - If a non-escaped "" is encountered in an enclosed context...
    - If it is followed by a separator, \r, or \n, then it is considered
      the closing quote of the current context
    - Otherwise, it is ignored
  - If a separator, \r, or \n is encountered while in an enclosed context,
    it will be preserved
",
"IsValid","","NonDialogueFontScale","","DialogueFontScale","","Author","",
"Set to 1 allow the parser to read this file, otherwise it will be skipped and the default English localization will be used as fallback","","Float value that scales font size of all dialogue text, this is an option separate because the English font of this game is *really* tiny, like about 1/3 of regular font when under the same font size.","","Float value that scales font size of all dialogue text, this is an option separate because the English font of this game is *really* tiny, like about 1/3 of regular font when under the same font size. Recommended setting is around 0.3~0.6.","","The author(s) of this file, will appear in credits","",
"Path","Orig","Translation",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@0:0","S-s-s-s-so... c-cold...","아, 아, 아... 너, 너무 추워...",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@1:0","Th-thanks for thawing me out.","노, 녹여줘서 고마워.",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@10:0","S-s-so... w-warm...","아... 따, 따뜻해...",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@2:0","I wish I had a bu-bu-bucket of lava to keep me warm.","용암 한 야, 양동이만 있으면 따뜻하게 있을 수 있을 텐데.",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@2:1","Fingers... g-g-getting co-cold already.","손가락이... 버, 벌써 차가워지고 있어.",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@2:2","Can you h-h-help me find a b-b-bucket?","야, 양도, 양동이 좀 찾는 걸 도와줄래?",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@3:0","You need a k-k-key? I've got one r-r-right here.","여, 열, 열쇠가 필요해? 여, 여기 하나 가지고 이,있어.",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@3:1","Ah shoot, my f-f-fingers are still f-frozen. ","아 젠장, 소, 손가락이 아직도 어, 얼어있어.",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@3:2","If you bring me a b-b-bucket and fill it with la-v-va, I can grab that k-key.","야, 야, 양동이를 가져와서 용암을 채, 채워주면, 그 여, 열쇠를 집을 수 있을 거야.",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@4:0","N-n-now we just need to <wavy>pour</wavy> in some l-l-lava.","이, 이제 용암을 조, 좀 <wavy>부어</wavy>주기만 하면 돼.",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@5:0","Ah that feels g-g-good... but it won't last like this. N-need to <wavy>pour</wavy> lava in the b-bucket.","아, 기분 조, 좋네... 하지만 이대로는 오래 가지 않을 거야. 야, 양동이에 용암을 <wavy>부어줘야</wavy> 해.",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@6:0","I can f-f-feel my hands again!","손을 다, 다시 느낄 수 있어!",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@6:1","Take this key to the basement, I'm sure there's s-so-some-thing cool in there.","이 열쇠를 써서 지하실로 내려가. 분명 뭔가 머, 멋진 게 있을 거야.",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@7:0","Now h-h-ho-how do I get down from here.","이제 여, 여기서 어떻게 내려가지.",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@8:0","Ug-g-g-g-ghh it's so c-c-old here...","으, 으... 여기 너무 ㅊ, 추워...",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@8:1","Is he ready-ddy yet?","그는 준, 준비됐어?",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@9:0","W-w-woah! It fell through!","우, 우와! 떨어졌어!",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@9:1","Looks li-like the c-cart stayed safe too.","수레도 무, 무사한 것 같네.",
"Map/EightPuzzle/MountainSTile (2)/Objects/Basement Dude@0:0","Oi, I've been breaking me back breaking these crates...","어이, 난 이 상자들 부수느라 허리가 다 나갔다고...",
"Map/EightPuzzle/MountainSTile (2)/Objects/Basement Dude@0:1","The last rock I threw broke. Ye don't have anything else to break crates do ye?","마지막으로 던진 돌이 깨져버렸어. 혹시 상자 부술 만한 다른 거 없나?",
"Map/EightPuzzle/MountainSTile (2)/Objects/Basement Dude@0:2","Something large and heavy should do the trick.","크고 무거운 게 있으면 될 텐데.",
"Map/EightPuzzle/MountainSTile (2)/Objects/Basement Dude@1:0","Oi that bucket looks heavy. Not heavy enough to break a crate, though.","어이, 그 양동이 무거워 보이네. 근데 상자 부술 정도는 아닌 것 같고.",
"Map/EightPuzzle/MountainSTile (2)/Objects/Basement Dude@2:0","That was a smashingly good idea!","그거 아주 훌륭한 생각이었어!",
"Map/EightPuzzle/MountainSTile (2)/Objects/Basement Dude@2:1","Oh. Door's still locked, huh. Can't smash that...","오. 문은 아직도 잠겼구만. 그건 부술 수 없겠네...",
"Map/EightPuzzle/MountainSTile (2)/Objects/Basement Dude@2:2","I reckon someone 'round here should have that key.","이 근처 누군가가 그 열쇠를 가지고 있을 거야.",
"Map/EightPuzzle/MountainSTile (2)/Objects/Basement Dude@3:0","Ye found the key!","야, 열쇠를 찾았구나!",
"Map/EightPuzzle/MountainSTile (2)/Objects/Basement Dude@3:1","Still need something to break that crate though. Some kinda... large... heavy object.","근데 아직 그 상자 부술 뭔가가 필요해. 뭔가... 크고... 무거운 물건 말이야.",
"Map/EightPuzzle/MountainSTile (2)/Objects/Basement Dude@3:2","Some kinda large, heavy, metal, throwable object.","크고, 무겁고, 금속이고, 던질 수 있는 물건 말이지.",
"Map/EightPuzzle/MountainSTile (2)/Objects/Basement Dude@3:3","To be quite frank, I reckon some sorta anchor would do wonders.","솔직히 말하자면, 닻 같은 게 있으면 딱 좋을 것 같아.",
"Map/EightPuzzle/MountainSTile (2)/Objects/Basement Dude@3:4","I used to break crates with anchors all the time back in my swashbuckling days.","내가 해적 생활할 적에는 맨날 닻으로 상자 부수고 그랬지.",
