"Slider.v1.0.11","Unity.v2022.3.44f1","(file format explainer)->","Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
about them in normal usage. However, if your localization file seems to
be corrupted, these rules may be helpful for debugging purposes...
- In general, any consecutive string of \r and \n (in any order) will be
  treated as one SINGLE line break, except within an enclosed context
- The first 4 rows can be arbitrarily long
  - The first cell of first row is used to store this block of instruction
    text
  - The first 3 cells of the fourth row is used as headers
  - All other cells in the first and fourth rows are ignored
  - Columns in the second row alternate between property and value (ex.
    ' foo | 1 | bar | 3.5 | ... '
    - Any whitespaces before and after the property name are ignored
  - Columns in the third row are exclusively comments for properties in the
    second row
- Every following line can include any number of cells, but only the
  first three will be parsed (you can use the rest as comments if needed)
- The file must end in a sequence of \r and \n's
- Every cell containing a ^, \r, or \n must be enclosed in ""
  - If a "" is encountered right after a non-enclosed separator, \r, or \n,
    then the parser is said to enter an ""enclosed context"", such context
    ends immediately when a non-escaped "" that is not followed by \r, \n,
    or a separator is encountered
  - "" within each cell should be escaped using another "" in front of it,
  - If a "" is encountered in a non-enclosed context, and it is not right
    after a separator, \r, or \n, then it is entirely ignored
  - If a non-escaped "" is encountered in an enclosed context...
    - If it is followed by a separator, \r, or \n, then it is considered
      the closing quote of the current context
    - Otherwise, it is ignored
  - If a separator, \r, or \n is encountered while in an enclosed context,
    it will be preserved
",
"IsValid","","NonDialogueFontScale","","DialogueFontScale","","Author","",
"Set to 1 allow the parser to read this file, otherwise it will be skipped and the default English localization will be used as fallback","","Float value that scales font size of all dialogue text, this is an option separate because the English font of this game is *really* tiny, like about 1/3 of regular font when under the same font size.","","Float value that scales font size of all dialogue text, this is an option separate because the English font of this game is *really* tiny, like about 1/3 of regular font when under the same font size. Recommended setting is around 0.3~0.6.","","The author(s) of this file, will appear in credits","",
"Path","Orig","Translation",
"Map/EightPuzzle/STile (1)/Objects/Catbeard@0:0","Argh! I can't believe I crashed me ship! Ye can have this as thanks.","아악! 내 배를 박았다니 믿을 수가 없어! 만난김에 이거나 가져가.",
"Map/EightPuzzle/STile (1)/Objects/Catbeard@0:1","Me license is definitely getting suspended after this one.","이번 일로 내 면허 정지는 따 놓은 당상이야.",
"Map/EightPuzzle/STile (1)/Objects/Catbeard@1:0","Arr... What should I do now?","으으... 이제 어쩌지?",
"Map/EightPuzzle/STile (1)/Objects/Catbeard@1:1","Where's me crew... They better have not jumped ship to the Jungle.","내 선원들은 어디 갔지... 설마 정글로 도망가진 않았겠지.",
"Map/EightPuzzle/STile (1)/Objects/Catbeard@2:0","Pete! Me boy! He's still out there!","피트! 내 아들! 아직 밖에 있어!",
"Map/EightPuzzle/STile (1)/Objects/Catbeard@2:1","I'll need to assemble another crew to save him.","그를 구하려면 새 선원들을 모아야 해.",
"Map/EightPuzzle/STile (1)/Objects/Catbeard@2:2","Argh, I knew we didn't have the guts to sail to The Veil.","아으, 우리에겐 장막으로 항해할 배짱이 없다는 걸 알고 있었어.",
"Map/EightPuzzle/STile (1)/Objects/Catbeard@2:3","WHO WANTS TO JOIN ME CREW?","누가 내 선원이 되고 싶어?",
"Map/EightPuzzle/STile (1)/Objects/Catbeard@2:4","AND BRING BACK THE FATHER!","그리고 아버지를 데려와!",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Alien@0:0","Huh? I'm on my break, sorry.","뭐? 지금 쉬는 중이라, 미안.",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Amber Oak@0:0","I knew I should've stayed in school...","학교에 남았어야 했는데...",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Amber Oak@0:1","Are you looking for work? Do you know anyone?","일자리 찾아? 아는 사람 있어?",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Amber Oak@0:2",":(",":(",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Bruce@0:0","Hi-ho! Wanna play elevens? We'll give ye a treasure if ye win!","안녕! 11 게임 할래? 이기면 보물 줄게!",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Bruce@0:1","Here goes!","자, 시작해볼까!",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Bruce@1:0","A 9! Yer turn.","9네! 네 차례야.",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Bruce@2:0","On me mother's bones, no way this rolls an 11...","어머니 뼈에 맹세코, 이게 11이 나올 리가 없어...",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Bruce@3:0","Yar, the tide be shaking the dice again!","아니, 파도가 또 주사위를 흔들고 있어!",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Bruce@4:0","I don't know why ye keep rolling matey, yer already a winner!","왜 계속 던지는지 모르겠네, 이미 이겼잖아!",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Bruce@5:0","Argh, a 7! Better luck next time matey.","아, 7이네! 다음엔 더 좋은 운이 있길 바라.",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Bruce@5:1","What. Whadya mean ye roll aint finished.","뭐라고. 아직 던지기가 안 끝났다고?",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Bruce@6:0","Shiver me timbers! How did that happen?","이런 맙소사! 어떻게 그런 일이?",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Bruce@7:0","What in the name of Davy Jones? How'd ye get an 11? Didn't even see ye roll! ","데비 존스의 이름으로! 어떻게 11이 나왔어? 던지는 것도 못 봤는데!",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Bruce@7:1","Arrrr ye be a speedy one. Here's ye prize.","으으으, 넌 빠르구나. 자, 여기 상품이야.",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Bruce@8:0","What in the name of Davy Jones? How'd ye get an 11? ","데비 존스의 이름으로! 어떻게 11이 나왔어?",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Bruce@8:1","I didn't see any cheats, so here's yer prize.","속임수는 못 봤으니 여기 상품이야.",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Bruce@9:0","Yar... elevens be no fun, I keep losing!","아... 11 게임 재미없네, 계속 지니까!",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Ike@0:0","My old man left to explore the foggy seas. His FINAL words to me were <wavy>""North then West.""</wavy>","우리 아버지는 안개 낀 바다를 탐험하러 떠나셨어. 그의 마지막 말씀은 <wavy>""북쪽으로 갔다가 서쪽으로""</wavy>였지.",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Ike@0:1","So inpirational. I wonder when he'll come back.","정말 감동적이야. 언제 돌아오실까.",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Ike@0:2","He told me not to search for him cause my ""memory sucks."" ","내 ""기억력이 형편없어서"" 찾지 말라고 하셨어.",
"Map/EightPuzzle/STile (2)/All Tile Maps/House Tile Maps/Decorations/Ike@0:3","You know what his final words were? <wavy>""North then West.""</wavy>","그의 마지막 말씀이 뭔지 알아? <wavy>""북쪽으로 갔다가 서쪽으로""</wavy>야.",
