"Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
about them in normal usage. However, if your localization file seems to
be corrupted, these rules may be helpful for debugging purposes...
- In general, any consecutive string of \r and \n (in any order) will be
  treated as one SINGLE line break, except within an enclosed context
- The first 4 rows can be arbitrarily long
  - The first cell of first row is used to store this block of instruction
    text
  - The first 3 cells of the fourth row is used as headers
  - All other cells in the first and fourth rows are ignored
  - Columns in the second row alternate between property and value (ex.
    ' foo | 1 | bar | 3.5 | ... '
    - Any whitespaces before and after the property name are ignored
  - Columns in the third row are exclusively comments for properties in the
    second row
- Every following line can include any number of cells, but only the
  first three will be parsed (you can use the rest as comments if needed)
- The file must end in a sequence of \r and \n's
- Every cell containing a ^, \r, or \n must be enclosed in ""
  - If a "" is encountered right after a non-enclosed separator, \r, or \n,
    then the parser is said to enter an ""enclosed context"", such context
    ends immediately when a non-escaped "" that is not followed by \r, \n,
    or a separator is encountered
  - "" within each cell should be escaped using another "" in front of it,
  - If a "" is encountered in a non-enclosed context, and it is not right
    after a separator, \r, or \n, then it is entirely ignored
  - If a non-escaped "" is encountered in an enclosed context...
    - If it is followed by a separator, \r, or \n, then it is considered
      the closing quote of the current context
    - Otherwise, it is ignored
  - If a separator, \r, or \n is encountered while in an enclosed context,
    it will be preserved
",
"NonDialogueFontAdjust"," ","DialogueFontScale"," ",
"String value adjusting font size for everything *except* dialogue. ex: +4 is 4 points larger, -4 is 4 points smaller"," ","Float value that scales font size of all dialogue text, this is an option separate because the English font of this game is *really* tiny, like about 1/3 of regular font when under the same font size. Recommended setting is around 0.3~0.6."," ",
"Path","Orig","Translation",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@0:0","S-s-s-s-so... c-cold...","S-s-s-s-so... c-cold...",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@1:0","Th-thanks for thawing me out.","Th-thanks for thawing me out.",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@2:0","I wish there was lava in that b-bucket to keep me warm.","I wish there was lava in that b-bucket to keep me warm.",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@2:1","If you could pour a whole lavafall into that bucket, I'd never be c-cold again!","If you could pour a whole lavafall into that bucket, I'd never be c-cold again!",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@2:2","Fingers... g-g-getting co-cold.","Fingers... g-g-getting co-cold.",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@3:0","Ah that feels good... but it won't last like this. N-need the lava in the bucket.","Ah that feels good... but it won't last like this. N-need the lava in the bucket.",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@4:0","I can f-f-feel my hands again!","I can f-f-feel my hands again!",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@4:1","Take this key to the basement, I'm sure there's s-so-some-thing cool in there.","Take this key to the basement, I'm sure there's s-so-some-thing cool in there.",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@5:0","Now h-h-ho-how do I get down from here.","Now h-h-ho-how do I get down from here.",
"Map/EightPuzzle/MountainSTile (1)/Objects/Rock Column/Frozen Guy@6:0","S-s-so... w-warm...","S-s-so... w-warm...",
"Map/EightPuzzle/MountainSTile (2)/Objects/Basement Dude@0:0","I been breaking me back breaking these crates...","I been breaking me back breaking these crates...",
"Map/EightPuzzle/MountainSTile (2)/Objects/Basement Dude@0:1","The last rock I threw broke. Ye don't have anything else to break crates do ye?","The last rock I threw broke. Ye don't have anything else to break crates do ye?",
"Map/EightPuzzle/MountainSTile (2)/Objects/Basement Dude@1:0","That was a smashingly good idea!","That was a smashingly good idea!",
"Map/EightPuzzle/MountainSTile (2)/Objects/Basement Dude@1:1","Oh. Door's still locked, huh. Can't smash that...","Oh. Door's still locked, huh. Can't smash that...",
"Map/EightPuzzle/MountainSTile (2)/Objects/Basement Dude@1:2","I reckon someone 'round here should have that key.","I reckon someone 'round here should have that key.",
"Map/EightPuzzle/MountainSTile (2)/Objects/Basement Dude@2:0","Ye found the key!","Ye found the key!",
"Map/EightPuzzle/MountainSTile (2)/Objects/Basement Dude@2:1","Still need something to break that crate though. Some kinda... large... heavy object.","Still need something to break that crate though. Some kinda... large... heavy object.",
"Map/EightPuzzle/MountainSTile (2)/Objects/Basement Dude@2:2","Some kinda large, heavy, metal, throwable object.","Some kinda large, heavy, metal, throwable object.",
"Map/EightPuzzle/MountainSTile (2)/Objects/Basement Dude@2:3","To be quite frank, I reckon some sorta anchor would do wonders.","To be quite frank, I reckon some sorta anchor would do wonders.",
"Map/EightPuzzle/MountainSTile (2)/Objects/Basement Dude@2:4","I used to break crates with anchors all the time back in my swashbuckling days.","I used to break crates with anchors all the time back in my swashbuckling days.",
"Map/EightPuzzle/MountainSTile (2)/Objects/Basement Dude@2:5","They worked wonders, waaayyyy better than all the other large, heavy, metal throwable objects we had.","They worked wonders, waaayyyy better than all the other large, heavy, metal throwable objects we had.",
"Map/EightPuzzle/MountainSTile (2)/Objects/Basement Dude@3:0","Alroight, now we're in buisness. ","Alroight, now we're in buisness. ",
"Map/EightPuzzle/MountainSTile (2)/Objects/Basement Dude@4:0","Oi, where are you taking that?","Oi, where are you taking that?",
"Map/EightPuzzle/MountainSTile (2)/Objects/Basement Dude@5:0","Work sure is hard.","Work sure is hard.",
"Map/EightPuzzle/MountainSTile (2)/Objects/Basement Dude@5:1","I could really go for a hot cocoa.","I could really go for a hot cocoa.",
"Map/EightPuzzle/MountainSTile (2)/Objects/Basement Dude@6:0","Woah, that was a big explosion! ","Woah, that was a big explosion! ",
"Map/EightPuzzle/MountainSTile (2)/Objects/Basement Dude@6:1","They finally cleared that cave-in, eh?","They finally cleared that cave-in, eh?",
"Map/EightPuzzle/MountainSTile (2)/Objects/Basement Dude@7:0","Ye in charge of the minecarts now?","Ye in charge of the minecarts now?",
"Map/EightPuzzle/MountainSTile (2)/Objects/Basement Dude@7:1","Why're there so many entrances to that Crystal Loop anyway?","Why're there so many entrances to that Crystal Loop anyway?",
"Map/EightPuzzle/MountainSTile (2)/Objects/Basement Dude@8:0","Finally! A 
warm drink.","Finally! A 
warm drink.",
"Map/EightPuzzle/MountainSTile (3)/Objects/Heater Worker@0:0","yoooo dude.","yoooo dude.",
"Map/EightPuzzle/MountainSTile (3)/Objects/Heater Worker@0:1","that pipe supplying the heater with lava is broken. sooo lame.","that pipe supplying the heater with lava is broken. sooo lame.",
"Map/EightPuzzle/MountainSTile (3)/Objects/Heater Worker@0:2","my boss had a fix but she's totally vanished bro. ","my boss had a fix but she's totally vanished bro. ",
"Map/EightPuzzle/MountainSTile (3)/Objects/Heater Worker@1:0","wooow you got the thing spining with no heater? niiiice.","wooow you got the thing spining with no heater? niiiice.",
"Map/EightPuzzle/MountainSTile (3)/Objects/Heater Worker@10:0","duuuuude thanks for fixing the world and stuff.","duuuuude thanks for fixing the world and stuff.",
"Map/EightPuzzle/MountainSTile (3)/Objects/Heater Worker@2:0","we reaaaaally gotta find my boss so we can fix this pipe.","we reaaaaally gotta find my boss so we can fix this pipe.",
"Map/EightPuzzle/MountainSTile (3)/Objects/Heater Worker@3:0","a scientist? crystals? dude what do all those words mean i just watch this pipe here.","a scientist? crystals? dude what do all those words mean i just watch this pipe here.",
