"Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
about them in normal usage. However, if your localization file seems to
be corrupted, these rules may be helpful for debugging purposes...
- In general, any consecutive string of \r and \n (in any order) will be
  treated as one SINGLE line break, except within an enclosed context
- The first 4 rows can be arbitrarily long
  - The first cell of first row is used to store this block of instruction
    text
  - The first 3 cells of the fourth row is used as headers
  - All other cells in the first and fourth rows are ignored
  - Columns in the second row alternate between property and value (ex.
    ' foo | 1 | bar | 3.5 | ... '
    - Any whitespaces before and after the property name are ignored
  - Columns in the third row are exclusively comments for properties in the
    second row
- Every following line can include any number of cells, but only the
  first three will be parsed (you can use the rest as comments if needed)
- The file must end in a sequence of \r and \n's
- Every cell containing a ^, \r, or \n must be enclosed in ""
  - If a "" is encountered right after a non-enclosed separator, \r, or \n,
    then the parser is said to enter an ""enclosed context"", such context
    ends immediately when a non-escaped "" that is not followed by \r, \n,
    or a separator is encountered
  - "" within each cell should be escaped using another "" in front of it,
  - If a "" is encountered in a non-enclosed context, and it is not right
    after a separator, \r, or \n, then it is entirely ignored
  - If a non-escaped "" is encountered in an enclosed context...
    - If it is followed by a separator, \r, or \n, then it is considered
      the closing quote of the current context
    - Otherwise, it is ignored
  - If a separator, \r, or \n is encountered while in an enclosed context,
    it will be preserved
",
"IsValid"," ","NonDialogueFontScale"," ","DialogueFontScale"," ",
"Set to 1 allow the parser to read this file, otherwise it will be skipped and the default English localization will be used as fallback"," ","Float value that scales font size of all dialogue text, this is an option separate because the English font of this game is *really* tiny, like about 1/3 of regular font when under the same font size."," ","Float value that scales font size of all dialogue text, this is an option separate because the English font of this game is *really* tiny, like about 1/3 of regular font when under the same font size. Recommended setting is around 0.3~0.6."," ",
"Path","Orig","Translation",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem (12)/Sunglasses Total Text","2","_ho_2_ho_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem Breadge/Breadge Total Text","9","_ho_9_ho_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Items/ArtifactInventoryItem Oil/Oil Total Text","4","_ho_4_ho_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/InventoryPanel/Text/ItemNameText","Collection","_ho_Collection_ho_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/WorldMapPanel/Text/AreaNameText","Map","_ho_Map_ho_",
"ArtifactCanvas/ArtifactFrame/ScreenMask/WorldMapPanel/Text/AreaNameTextBG","Map","_ho_Map_ho_",
"ArtifactCanvas/ArtifactFrame/Tabs/Realigning Tabs/LoadTextHolder/Load TMP Text","Load!","_ho_Load!_ho_",
"ArtifactCanvas/ArtifactFrame/Tabs/Realigning Tabs/SaveTextHolder/Save TMP Text","Save!","_ho_Save!_ho_",
"Magitech Hints@0","Hold <AltViewHold> to view the past","_ho_Hold <AltViewHold> to view the past_ho_",
"Map/EightPuzzle/MagitechSTile (1) Past/Objects/Portal Operator 1@0:0","Hey what are you- wait, you're the person with all the magical artifacts!","_ho_Hey what are you- wait, you're the person with all the magical artifacts!_ho_",
"Map/EightPuzzle/MagitechSTile (1) Past/Objects/Portal Operator 1@0:1","Perfect! You have that <#2e44f0>Anchor</color>, right? I've been writing my thesis on how it affects time and space!","_ho_Perfect! You have that <#2e44f0>Anchor</color>, right? I've been writing my thesis on how it affects time and space!_ho_",
"Map/EightPuzzle/MagitechSTile (1) Past/Objects/Portal Operator 1@1:0","I theorize that with the <#2e44f0>Anchor</color> artifact, we might be capable of separating timelines.","_ho_I theorize that with the <#2e44f0>Anchor</color> artifact, we might be capable of separating timelines._ho_",
"Map/EightPuzzle/MagitechSTile (1) Past/Objects/Portal Operator 1@1:1","Or more specifically, creating a <#c060c0><wavy>desync</wavy></color>!","_ho_Or more specifically, creating a <#c060c0><wavy>desync</wavy></color>!_ho_",
"Map/EightPuzzle/MagitechSTile (1) Past/Objects/Portal Operator 1@2:0","Fascinating! <#c060c0><wavy>Desyncs</wavy></color>! I need to start writing my papers write away.","_ho_Fascinating! <#c060c0><wavy>Desyncs</wavy></color>! I need to start writing my papers write away._ho_",
"Map/EightPuzzle/MagitechSTile (1) Past/Objects/Portal Operator 1@2:1","There's so much possible with these.","_ho_There's so much possible with these._ho_",
"Map/EightPuzzle/MagitechSTile (1) Past/Objects/Portal Operator 1@3:0","Is this what it feels like?! A <#c060c0><wavy>desync</wavy></color>!","_ho_Is this what it feels like?! A <#c060c0><wavy>desync</wavy></color>!_ho_",
"Map/EightPuzzle/MagitechSTile (1) Past/Objects/Portal Operator 1@4:0","These <#c060c0><wavy>desyncs</wavy></color> are so fascinating, they break all rules we know.","_ho_These <#c060c0><wavy>desyncs</wavy></color> are so fascinating, they break all rules we know._ho_",
"Map/EightPuzzle/MagitechSTile (1) Past/Objects/Portal Operator 1@5:0","I'm sure to win an award for this Desync paper!","_ho_I'm sure to win an award for this Desync paper!_ho_",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@0:0","Buzz off.","_ho_Buzz off._ho_",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@1:0","You'll never catch me!","_ho_You'll never catch me!_ho_",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@2:0","Aha! This time you'll finally meet your match explorer!","_ho_Aha! This time you'll finally meet your match explorer!_ho_",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@2:1","I've nabbed this powerful portal device, and with it we'll have our fiercest competition yet!","_ho_I've nabbed this powerful portal device, and with it we'll have our fiercest competition yet!_ho_",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@2:2","First, let me turn this on...","_ho_First, let me turn this on..._ho_",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@3:0","Aha! It worked! And now, with this portal on we're gonna...","_ho_Aha! It worked! And now, with this portal on we're gonna..._ho_",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@3:1","We're gonna...","_ho_We're gonna..._ho_",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@3:2","...","_ho_..._ho_",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@3:3","I... I don't know...","_ho_I... I don't know..._ho_",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@3:4","It doesn't even matter. You're gonna win anyways. You always do.","_ho_It doesn't even matter. You're gonna win anyways. You always do._ho_",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@3:5","Why do I even try? I'm just... not good enough.","_ho_Why do I even try? I'm just... not good enough._ho_",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@3:6","Here, just take it.","_ho_Here, just take it._ho_",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@4:0","I need some time to myself.","_ho_I need some time to myself._ho_",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@5:0","I... I can't do anything right.","_ho_I... I can't do anything right._ho_",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@5:1","I'm a terrible research assistant.","_ho_I'm a terrible research assistant._ho_",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@5:2","That explorer has helped you more than I have.","_ho_That explorer has helped you more than I have._ho_",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@5:3","What am I even here for? I just keep letting everyone down.","_ho_What am I even here for? I just keep letting everyone down._ho_",
"Map/EightPuzzle/MagitechSTile (1)/Objects/Chad@5:4","I give up...","_ho_I give up..._ho_",
