Orig,Translation
"Slide chunks of the world to solve puzzles and help others. Control an ever-growing set of tiles and mechanics. Explore nine unique areas, unravel the mysteries of the universe, and reconnect the world -- one slider at a time.",从一小片“地图滑块”开始，解决难题，解锁关卡与道具，并完成各种任务。一块一块解锁滑块大陆的9个区域，并将他们排列修复——最终解决大陆的究极谜题！
"100% of profits will be donated to charity!","100%的收益都将被捐献！"
"Slider is an award-winning puzzle adventure game where the world faces cataclysm, and you must use The Artifact to solve puzzles, rearrange maps, help reconnect humanity, and, most importantly... find your cat.",《滑块世界》是一款屡获殊荣的谜题冒险游戏。世界遭遇灾难，而只有你能够使用上古遗物来解决谜题，将大陆排列如初，重新连接起各地的居民们，并完成最重要的任务：找回你“走”丢的猫猫！
Free to play! 10+ hours of content.,10+小时的解谜内容供您免费游玩！
Solve tricky puzzles with a variety of mechanics.,运用多种地图机制解决谜题。
"Explore 9 unique regions, each with their own twists.",从第一片地图滑块开始，不断开拓道路并解锁9个独特的关卡区域。
Cats!!!,猫！！！
Slide Tiles to Solve Puzzles,重组地图并解决各种难题。
"Use The Artifact to slide pieces of the world to your advantage, unlocking treasures and completing each area's grid. Watch as your collection of objects expands as you solve increasingly complex puzzles.",使用上古遗物将世界重新排列，发现各种宝物并修复大陆的9个部分。解决逐渐复杂的难题并收集隐藏宝藏！
Explore 9 Unique Areas,探索9片独特的区域。
"The world is full of mysteries, with each new area presenting a unique twist on the 8-puzzle. Discover rotating environments, tactical combat, 3D grids, time travel, and more!",这个世界充满奥秘。每个关卡都在“八数字推盘”的基础上加入了多种独特机制：旋转地块、棋盘战斗、第三维度、甚至是时空旅行！
Help an Odd Cast of Characters,帮助各种稀奇古怪的角色。
"After the world has been shattered, it's up to you to reconnect everyone. Help those in need piece their lives back together.",只有你能够把破碎的大陆重新连接起来，让居民们的生活重返正轨！
Master Unique Mechanics,学习掌握多种机制
"Solve puzzles of increasing complexity as your toolbox grows and mechanics build upon each other. From anchors to minecarts to buoys to lights, take control of the world around you.",在探索的过程中解锁各种工具，并解决逐渐复杂的谜题。从船锚到浮标到灯泡——用各种工具开拓并操纵整片大陆！
