Orig,Translation
"Slide chunks of the world to solve puzzles and help others. Control an ever-growing set of tiles and mechanics. Explore nine unique areas, unravel the mysteries of the universe, and reconnect the world -- one slider at a time.","세계의 조각들을 슬라이드해서 퍼즐을 풀고 다른 이들을 도와주세요. 계속 늘어나는 타일과 장치들을 조작하세요. 한 번에 하나씩 슬라이드하며, 아홉 개의 독특한 지역을 탐험하고, 우주의 신비를 풀어내며, 세계를 다시 연결하세요."
"100% of profits will be donated to charity!","수익의 100%는 자선단체에 기부됩니다!"
"Slider is an award-winning puzzle adventure game where the world faces cataclysm, and you must use The Artifact to solve puzzles, rearrange maps, help reconnect humanity, and, most importantly... find your cat.","Slider는 수상 경력을 자랑하는 퍼즐 어드벤처 게임으로, 세계가 대격변에 직면한 상황에서 당신은 '유물'을 사용하여 퍼즐을 풀고, 지도를 재배열하며, 인류의 재건을 돕고, 가장 중요하게는... 당신의 고양이를 되찾아야 합니다."
Free to play! 10+ hours of content.,"무료로 플레이하세요! 10시간 이상의 콘텐츠."
Solve tricky puzzles with a variety of mechanics.,"다양한 메커니즘으로 까다로운 퍼즐을 해결하세요."
"Explore 9 unique regions, each with their own twists.","각각 독특한 특징을 가진 9개의 지역을 탐험하세요."
Cats!!!,"고양이들!!!"
Slide Tiles to Solve Puzzles,"타일을 슬라이드하여 퍼즐 풀기"
"Use The Artifact to slide pieces of the world to your advantage, unlocking treasures and completing each area's grid. Watch as your collection of objects expands as you solve increasingly complex puzzles.","'유물'을 사용하여 세계의 조각들을 밀어내어 보물을 해금하고 각 지역의 그리드를 완성하세요. 점점 더 복잡해지는 퍼즐을 풀면서 당신의 아이템 컬렉션을 모아보세요."
Explore 9 Unique Areas,"9개의 독특한 지역 탐험"
"The world is full of mysteries, with each new area presenting a unique twist on the 8-puzzle. Discover rotating environments, tactical combat, 3D grids, time travel, and more!","세상은 신비로 가득 차 있으며, 각 새로운 지역들은 슬라이딩 퍼즐의 독특하게 변형된 모습을 선보입니다. 회전하는 환경, 전술적인 전투, 3D 그리드, 시간 여행 등을 탐험하세요!"
Help an Odd Cast of Characters,"기묘한 캐릭터들 돕기"
"After the world has been shattered, it's up to you to reconnect everyone. Help those in need piece their lives back together.","세계가 산산조각 난 후, 모두를 다시 연결하고 조립하는 것은 당신의 몫입니다. 도움이 필요한 사람들의 조각난 삶을 다시 맞춰주세요."
Master Unique Mechanics,"고유한 메커니즘 마스터하기"
"Solve puzzles of increasing complexity as your toolbox grows and mechanics build upon each other. From anchors to minecarts to buoys to lights, take control of the world around you.","사용할 수 있는 도구가 많아지고 메커니즘들이 쌓이면서 점점 더 복잡해지는 퍼즐을 해결하세요. 닻부터 광산 수레, 부표, 조명에 이르기까지 여러 도구를 사용해 주변 세상을 제어하세요. "
